epoch,train_loss,mean_beta,train_rmse,val_rmse,val_mae,val_bias,val_r2,val_teacher_rmse,lr
1.0,1037310.0252659575,0.899999977426326,1031.856001053118,1003.9902503826175,503.9484558105469,-496.8013000488281,-0.32410948674130124,244.14115486523167,0.001
2.0,979033.4627659575,0.899999977426326,1000.2187042110565,972.0681186317753,466.9670715332031,-431.7791748046875,-0.2412472674843016,244.14115486523167,0.001
3.0,905852.3390957447,0.899999977426326,964.4934464129346,935.9274057467726,415.75213623046875,-394.7657470703125,-0.15066587916173657,244.14115486523167,0.001
4.0,835430.4973404255,0.899999977426326,926.4425962530157,897.4750887411722,376.1938781738281,-350.5340576171875,-0.058058575794582845,244.14115486523167,0.001
5.0,765479.1343085107,0.899999977426326,886.9452567784534,857.5652928452336,341.22900390625,-305.47540283203125,0.033950681813039285,244.14115486523167,0.001
6.0,694248.3803191489,0.899999977426326,846.3172484610684,816.5409898948034,311.46099853515625,-276.5272521972656,0.1241678400590166,244.14115486523167,0.001
7.0,623486.5571808511,0.899999977426326,804.8424132395895,774.6109238348216,283.86798095703125,-242.2232666015625,0.21180778546115364,244.14115486523167,0.001
8.0,560016.9853723404,0.899999977426326,762.999544676151,732.2065689567648,256.4077453613281,-211.04673767089844,0.2957414181452338,244.14115486523167,0.001
9.0,492559.6323138298,0.899999977426326,721.4808008824028,690.2233781684198,233.5747528076172,-188.8680877685547,0.3741874962359072,244.14115486523167,0.001
10.0,433907.3676861702,0.899999977426326,680.7486875724542,648.7069297777697,211.57603454589844,-163.1099853515625,0.4472077053565535,244.14115486523167,0.001
11.0,379622.8058510638,0.899999977426326,641.177643369525,608.1043978293234,191.48269653320312,-137.14532470703125,0.5142406209328358,244.14115486523167,0.001
12.0,328986.5585106383,0.899999977426326,604.0604232714091,569.8038166703277,176.59378051757812,-110.80286407470703,0.573503360035587,244.14115486523167,0.001
13.0,287269.9105718085,0.899999977426326,568.557933518892,533.5859119406796,161.6340789794922,-102.47632598876953,0.6259982663557937,244.14115486523167,0.001
14.0,245762.18450797873,0.899999977426326,533.4043250904302,497.5740854383886,149.48106384277344,-86.03134155273438,0.6747776279455879,244.14115486523167,0.001
