group,n,large_rmse,ft_rmse,large_mae,ft_mae,delta_rmse_ft_minus_large,frac_ft_better
rare,140,419.1219568530718,421.30007824485085,176.8502752111718,160.3028602513951,2.1781213917790296,0.75
common,37030,214.717085384954,223.04569550797186,76.31027275139091,73.83966128262006,8.328610123017853,0.5132325141776938
