group,n,large_rmse,ft_rmse,large_mae,ft_mae,delta_rmse_ft_minus_large,frac_ft_better
climb,4216,166.7891051702852,161.63206359334959,62.585910774475174,61.16572563802098,-5.157041576935626,0.5419829222011385
descent,5658,115.8735528342963,120.08601535500202,38.231425704166035,38.8491183648795,4.212462520705714,0.46942382467302934
cruise,27296,237.41409139041858,247.74289037387442,86.83883470304112,83.49362715167905,10.32879898345584,0.5190870457209847
