group,n_intervals,global_mae,expert_mae,moe_mae,global_rmse,expert_rmse,moe_rmse,delta_rmse
A320,5223,46.826806680792394,42.89936776054859,42.896570619761285,81.50158062942278,77.42505315350664,77.42471552003222,4.076527475916137
A20N,6917,46.336419115903745,41.04368464874783,41.043818111494424,87.20142013203127,80.03945723206934,80.03452846389945,7.161962899961935
A359,4666,117.33903050289243,119.2810210774059,119.27636538904545,242.82612889149792,253.57535513115516,253.56103619723928,-10.749226239657247
B738,1200,45.04346695379881,40.70485300731809,40.711393182747166,68.99360658489181,60.50136956306075,60.49465434187769,8.492237021831059
B788,1343,135.27048016613563,136.99314038173281,136.96285830273635,228.19123066092604,239.65441327048214,239.61631117944603,-11.4631826095561
Other,3682,175.5105635991666,222.02518490286437,221.99853259105578,395.09841374817137,565.2579555170606,565.1621122385319,-170.15954176888926
