haul_bucket,n,n_frac,mae,rmse,bias_mean_pred_minus_actual,median_bias,sse,sse_share,mean_actual_kg,mean_pred_kg
ultralong_>=8h,14011,0.2284600834855205,203.82742634563746,454.79749931323556,39.3240824426118,77.8416823120233,2898045963.7612123,0.8490870995157899,1171.570272746842,1210.8943551894538
medium_2-5h,33125,0.5401284894338638,56.680976734838374,101.79094811309702,30.812065206293905,23.259658345357295,343221279.5259063,0.10055905405534908,200.8099142747532,231.6219794810471
long_5-8h,12599,0.20543634229063396,50.5565847688799,108.40018540881749,22.69322555348944,20.356812654375886,148045811.87779504,0.043375360699812134,166.2963268577506,188.98955241124006
short_<2h,1593,0.02597508478998174,71.85558798958778,122.27825229430117,37.511488829302436,31.47986053771865,23818489.777748987,0.006978485729048897,249.92525033521656,287.436739164519
