method,mae,rmse,r2
"RidgeStack (1-split, reproduced)",88.30957052338937,212.62673462068346,0.9429831944017845
RidgeStack (K-fold OOF),88.30957052338937,212.62673462068346,0.9429831944017845
SimpleAvg (1-split),88.20739805377343,212.66155675454496,0.9429645174520591
WeightedAvg (1-split),88.20739805377343,212.66155675454496,0.9429645174520591
ElasticNetStack (1-split),88.30957203942125,212.62673128395414,0.9429831961913021
LGBM_meta (1-split),91.10563821338995,219.26263314320803,0.9393687679527769
