variant,hypothesis,expected_gain,rank_rmse,final_rmse,combined_rmse,rank_mae,final_mae,combined_mae,combined_bias,pct_overpredict,narrow_rmse,heavy_rmse,a20n_rmse,a320_rmse,a359_rmse,b77w_rmse,b744_rmse,cruise_rmse,climb_rmse,descent_rmse,ultralong_rmse,medium_rmse,delta_combined_vs_baseline,feature_count,gate,delta_vs_baseline,gate_reason
R4_baseline_mass_only,"","",238.64366783888292,214.33520056345523,224.22546751293143,80.54619197140228,74.6927015089834,76.99847737956642,0.9818071029304964,59.8503130707018,76.91024963706056,420.95514990613214,77.29431570118197,70.7739577120335,330.87063818673374,863.4918896305655,888.2622119180387,244.6507115923076,191.04026095772468,117.11833814609075,437.276813568471,88.7351111074978,-4.0250723653892635,60,BASELINE,,
R4a_core_cruise,"","",238.13504534736455,218.0193949917746,226.1569278572103,80.51426469195123,74.87590067816178,77.0969350808021,2.147364397433727,63.387033655100446,78.81675314211392,423.8755682442649,76.92054960380734,70.37575115082717,326.571234636925,871.2315742775288,922.1767871258368,245.11492781416646,205.26791859431012,118.6791859207479,440.0810145437951,92.38773456322778,-2.0936120211104026,72,,1.931460344278861,
R4b_cruise_interactions,"","",246.14660243158127,218.7588634350826,229.93703844097254,78.82086424011479,72.86350990588458,75.21019928115089,-4.271775415079674,58.61107487607619,76.13644086598873,433.08577463568554,76.15609328094705,71.98554892621712,334.5887351092424,864.82033062945,1001.7007338885886,250.01670542794298,201.28533829636424,122.13774439466384,450.48398168877986,87.72772778592777,1.686498562651849,68,,5.711570928041112,
R4c_full_cruise,"","",246.14913372507533,215.12916738807678,227.85306641269958,79.00657438295684,73.12184301201215,75.43992513533725,-1.4329117296817144,60.56939733889904,76.89855785586775,428.4383092864872,76.05686814530307,72.53434280014862,326.80245757079433,852.6970846674036,1006.5156987858693,248.3385684467441,200.11921106999205,114.06364201307194,445.23262585863694,88.93870247758325,-0.3974734656211183,80,,3.627598899768145,
R4_ablate_cruise_kinematics,"","",239.87356068093337,215.696909451043,225.53004111465833,80.53197790813522,74.67462771048199,76.98192398746653,1.3480726908342018,59.55843986433603,77.54992048213167,423.2537328114631,76.17894083863757,72.19532252003714,329.06130233663896,867.1545393516969,907.1672875671009,245.70751588148985,194.11297828320798,119.08888042700985,439.11908480938024,90.46372252214492,-2.7204987636623628,64,,1.3045736017269007,
R4_ablate_cruise_efficiency,"","",242.31848147733635,216.29078789409877,226.90016299296863,82.08685671886832,76.0280021372724,78.41467395083544,6.667316531497355,64.86433602921993,81.33255067304512,424.1285464088536,79.02754766167268,72.93268026223505,319.57480031765607,857.6221077387497,983.359235683867,245.04505365259112,213.72450670122046,117.40231965073146,440.02139132228365,94.48169958233954,-1.3503768853520626,63,,2.674695480037201,
R4_ablate_cruise_altitude,"","",239.6881396857172,220.6995264697675,228.36797447732093,80.60706714134642,74.98200211151476,77.19779784903554,0.6942516377935154,60.42590660057397,79.09530245553276,428.3473306932553,78.59384137413214,71.59299373621643,333.7276192526729,888.7018272500741,887.4759795551466,248.7378698833794,198.14720332970526,119.20170906537871,445.2100801916608,92.01891674393451,0.11743459900023367,63,,4.142506964389497,
R4_ablate_cruise_wind,"","",240.85640961742962,220.55733788904388,228.76855317524914,80.82450207132416,75.09120260399573,77.3496334762192,1.0277195739922573,59.692147143229846,79.64674917503197,428.8577756454167,75.37990832916225,72.48664969704072,337.1795525190752,866.2271089589777,922.4815282212672,248.46391360985936,202.7789796650819,121.15189740388621,445.25656169073693,93.36695569052824,0.5180132969284443,62,,4.543085662317708,
R4_ensemble_cruise_mass_P1E,Full cruise features in ensemble (mass + cruise + P1E),"",238.6484119587668,215.0156017828506,224.6219233006943,78.67772556816232,73.30392467090687,75.42074377597955,0.22187393361216565,62.69729976519698,76.63492984957038,421.9800125776663,76.75252188718667,72.37904545836614,329.9509231511988,844.296965143238,924.9470321371341,244.78503782557564,196.86878093182568,113.34016859025193,436.70897016234926,88.54923280138321,-3.6286165776263886,80,REJECT,0.39645578776287493,combined_rmse not improved vs comparison baseline
