interval_dur_bucket,n,n_frac,mae,rmse,bias_mean_pred_minus_actual,median_bias,sse,sse_share,mean_actual_kg,mean_pred_kg
iv_>=30min,2781,0.045346334463866426,378.96686693056586,742.2122772885277,74.80444075848362,69.97574456567372,1531994678.535304,0.4488531011367861,2649.93942905142,2724.743869809904
iv_10-30min,7106,0.11586877119749543,201.16187794128845,405.1538870940391,45.7730821024455,60.478209483687834,1166447570.847971,0.34175289041418005,1152.4529079831127,1198.2259900855584
iv_<10min,51441,0.8387848943386381,58.34740044820434,117.87017746663393,26.90446255605628,25.505363477322078,714689295.5593876,0.20939400844903375,194.4205192619117,221.324981817968
