held_out_type,approach,approach_label,routing,target,feature_group,body_class,mass_class,mtow_kg,body_shift,train_narrow_frac,train_wide_frac,n_held_flights,n_held_intervals,physics_mae,mae,rmse,r2,delta_mae_vs_physics,train_seconds
A332,global_flow_per_mass_ew,Global · Flow/Mass · E+W,global,flow_per_mass,ew,wide,heavy,230000.0,wide_held_narrow_train,0.6689382262004561,0.3310617737995439,496,5058,933.0012384806213,337.9652036344156,620.1987301696031,0.6468327745575506,-595.0360348462057,44.49499999999989
A332,hier_body_direct_ew,Body-class · Direct · E+W,hierarchical_body,direct_fuel,ew,wide,heavy,230000.0,wide_held_narrow_train,0.6689382262004561,0.3310617737995439,496,5058,933.0012384806213,329.79204646258626,562.6781334475388,0.7093042219510612,-603.2091920180351,34.47390559999985
A332,hier_body_flow_energy,Body-class · Flow+Energy,hierarchical_body,fuel_flow,flow_energy,wide,heavy,230000.0,wide_held_narrow_train,0.6689382262004561,0.3310617737995439,496,5058,933.0012384806213,464.1875223793595,848.9088999508516,0.3383309487321712,-468.8137161012618,31.9554720000001
A333,global_direct_ew,Global · Direct · E+W,global,direct_fuel,ew,wide,heavy,242000.0,wide_held_narrow_train,0.6472630220144437,0.3527369779855563,138,1343,518.761178975728,224.84768101753386,557.5506447630133,0.7248436448317812,-293.91349795819406,41.68453899999986
A333,global_flow_energy,Global · Flow+Energy,global,fuel_flow,flow_energy,wide,heavy,242000.0,wide_held_narrow_train,0.6472630220144437,0.3527369779855563,138,1343,518.761178975728,272.443584021379,599.1857341382993,0.6822146788258824,-246.31759495434892,40.24117720000004
A333,global_flow_per_mass_ew,Global · Flow/Mass · E+W,global,flow_per_mass,ew,wide,heavy,242000.0,wide_held_narrow_train,0.6472630220144437,0.3527369779855563,138,1343,518.761178975728,352.91956736822846,704.307653170772,0.5609280245769237,-165.8416116074995,42.15674530000024
A333,hier_body_direct_ew,Body-class · Direct · E+W,hierarchical_body,direct_fuel,ew,wide,heavy,242000.0,wide_held_narrow_train,0.6472630220144437,0.3527369779855563,138,1343,518.761178975728,341.56913141068804,642.0439755611623,0.6351280701512791,-177.1920475650399,29.961323900000025
A333,hier_body_flow_energy,Body-class · Flow+Energy,hierarchical_body,fuel_flow,flow_energy,wide,heavy,242000.0,wide_held_narrow_train,0.6472630220144437,0.3527369779855563,138,1343,518.761178975728,267.48223934836074,591.7675674722506,0.690034597247404,-251.2789396273672,29.175123099999837
A359,global_direct_ew,Global · Direct · E+W,global,direct_fuel,ew,wide,heavy,280000.0,wide_held_narrow_train,0.7909068624838802,0.20909313751611974,1452,22166,1854.7304752872335,249.587830864624,482.252485882887,0.8270851174313695,-1605.1426444226095,148.23294899999996
A359,global_flow_energy,Global · Flow+Energy,global,fuel_flow,flow_energy,wide,heavy,280000.0,wide_held_narrow_train,0.7909068624838802,0.20909313751611974,1452,22166,1854.7304752872335,278.0375291088805,440.79678420108183,0.8555357926357263,-1576.692946178353,296.9896077000001
A359,global_flow_per_mass_ew,Global · Flow/Mass · E+W,global,flow_per_mass,ew,wide,heavy,280000.0,wide_held_narrow_train,0.7909068624838802,0.20909313751611974,1452,22166,1854.7304752872335,438.03135909369945,676.7629745652333,0.6594690379959336,-1416.699116193534,128.5737648999998
A359,hier_body_direct_ew,Body-class · Direct · E+W,hierarchical_body,direct_fuel,ew,wide,heavy,280000.0,wide_held_narrow_train,0.7909068624838802,0.20909313751611974,1452,22166,1854.7304752872335,1712.7061180822652,1926.2299869493538,-1.7586696895052367,-142.02435720496828,30.004095300000245
A359,hier_body_flow_energy,Body-class · Flow+Energy,hierarchical_body,fuel_flow,flow_energy,wide,heavy,280000.0,wide_held_narrow_train,0.7909068624838802,0.20909313751611974,1452,22166,1854.7304752872335,868.0422534513086,1255.2629773953597,-0.1715285156501294,-986.6882218359249,49.40106509999987
B738,global_direct_ew,Global · Direct · E+W,global,direct_fuel,ew,narrow,light,79000.0,narrow_held_wide_train,0.6171922238305513,0.38280777616944867,518,6841,175.2632729611465,177.84044409393303,265.0750741707735,-0.13212981318434647,2.577171132786532,42.56659609999997
B738,global_flow_energy,Global · Flow+Energy,global,fuel_flow,flow_energy,narrow,light,79000.0,narrow_held_wide_train,0.6171922238305513,0.38280777616944867,518,6841,175.2632729611465,218.46176860270867,300.7716277562929,-0.45757924744020295,43.198495641562175,41.17422699999997
B738,global_flow_per_mass_ew,Global · Flow/Mass · E+W,global,flow_per_mass,ew,narrow,light,79000.0,narrow_held_wide_train,0.6171922238305513,0.38280777616944867,518,6841,175.2632729611465,69.86248076052871,127.42423114891928,0.7383850925015587,-105.40079220061779,42.784622899999704
B738,hier_body_direct_ew,Body-class · Direct · E+W,hierarchical_body,direct_fuel,ew,narrow,light,79000.0,narrow_held_wide_train,0.6171922238305513,0.38280777616944867,518,6841,175.2632729611465,74.65969034236814,128.3092855006463,0.7347382581543016,-100.60358261877836,35.36705000000029
B738,hier_body_flow_energy,Body-class · Flow+Energy,hierarchical_body,fuel_flow,flow_energy,narrow,light,79000.0,narrow_held_wide_train,0.6171922238305513,0.38280777616944867,518,6841,175.2632729611465,70.1848680108674,119.96615911940168,0.7681132397242515,-105.0784049502791,34.40703960000019
B772,global_direct_ew,Global · Direct · E+W,global,direct_fuel,ew,wide,heavy,297000.0,wide_held_narrow_train,0.6442846972617249,0.35571530273827506,97,813,935.6888258134002,258.31195632964875,478.01825038132256,0.8982934279683389,-677.3768694837514,42.65383979999979
B772,global_flow_energy,Global · Flow+Energy,global,fuel_flow,flow_energy,wide,heavy,297000.0,wide_held_narrow_train,0.6442846972617249,0.35571530273827506,97,813,935.6888258134002,238.47334524158674,474.86047526956213,0.8996327311151853,-697.2154805718135,41.42230109999991
B772,global_flow_per_mass_ew,Global · Flow/Mass · E+W,global,flow_per_mass,ew,wide,heavy,297000.0,wide_held_narrow_train,0.6442846972617249,0.35571530273827506,97,813,935.6888258134002,594.6560015784394,928.1887958829764,0.6165288424027433,-341.0328242349608,42.502753700000085
B772,hier_body_direct_ew,Body-class · Direct · E+W,hierarchical_body,direct_fuel,ew,wide,heavy,297000.0,wide_held_narrow_train,0.6442846972617249,0.35571530273827506,97,813,935.6888258134002,275.66977748943276,487.36949530694136,0.8942752305086467,-660.0190483239674,30.545222300000205
B772,hier_body_flow_energy,Body-class · Flow+Energy,hierarchical_body,fuel_flow,flow_energy,wide,heavy,297000.0,wide_held_narrow_train,0.6442846972617249,0.35571530273827506,97,813,935.6888258134002,214.28725084577226,441.65713962103536,0.9131778428791489,-721.4015749676279,29.36620960000073
B77W,global_direct_ew,Global · Direct · E+W,global,direct_fuel,ew,wide,heavy,351500.0,wide_held_narrow_train,0.6486207740446807,0.3513792259553194,168,1583,4343.28992143047,1055.3428027195043,1389.2226869086583,0.40699323603738335,-3287.9471187109657,44.89507070000036
B77W,global_flow_energy,Global · Flow+Energy,global,fuel_flow,flow_energy,wide,heavy,351500.0,wide_held_narrow_train,0.6486207740446807,0.3513792259553194,168,1583,4343.28992143047,890.1223593394049,1162.7272125139602,0.5845951271188774,-3453.167562091065,44.07732050000004
B77W,global_flow_per_mass_ew,Global · Flow/Mass · E+W,global,flow_per_mass,ew,wide,heavy,351500.0,wide_held_narrow_train,0.6486207740446807,0.3513792259553194,168,1583,4343.28992143047,921.277915213293,1130.889041708208,0.6070331599439965,-3422.012006217177,43.74084270000003
B77W,hier_body_direct_ew,Body-class · Direct · E+W,hierarchical_body,direct_fuel,ew,wide,heavy,351500.0,wide_held_narrow_train,0.6486207740446807,0.3513792259553194,168,1583,4343.28992143047,865.3964173874281,1197.63197799489,0.5592800803120219,-3477.8935040430415,29.33869370000002
B77W,hier_body_flow_energy,Body-class · Flow+Energy,hierarchical_body,fuel_flow,flow_energy,wide,heavy,351500.0,wide_held_narrow_train,0.6486207740446807,0.3513792259553194,168,1583,4343.28992143047,578.4585567313572,865.1648274985529,0.7700075267072579,-3764.831364699113,28.94334009999966
B788,global_direct_ew,Global · Direct · E+W,global,direct_fuel,ew,wide,heavy,228000.0,wide_held_narrow_train,0.6834025545865603,0.31659744541343965,576,7406,413.12670327766426,185.60205694208935,338.31698801973613,0.7729635150263074,-227.52464633557491,71.83663230000002
B788,global_flow_energy,Global · Flow+Energy,global,fuel_flow,flow_energy,wide,heavy,228000.0,wide_held_narrow_train,0.6834025545865603,0.31659744541343965,576,7406,413.12670327766426,142.92156649118905,288.21751044604673,0.8352259683767138,-270.20513678647524,48.28260330000012
B788,global_flow_per_mass_ew,Global · Flow/Mass · E+W,global,flow_per_mass,ew,wide,heavy,228000.0,wide_held_narrow_train,0.6834025545865603,0.31659744541343965,576,7406,413.12670327766426,406.27289094621693,596.2350388262586,0.2948475291562942,-6.85381233144733,41.68958119999979
B788,hier_body_direct_ew,Body-class · Direct · E+W,hierarchical_body,direct_fuel,ew,wide,heavy,228000.0,wide_held_narrow_train,0.6834025545865603,0.31659744541343965,576,7406,413.12670327766426,489.1792425868019,744.1898320337399,-0.09853906829935655,76.05253930913761,28.335922899999787
B788,hier_body_flow_energy,Body-class · Flow+Energy,hierarchical_body,fuel_flow,flow_energy,wide,heavy,228000.0,wide_held_narrow_train,0.6834025545865603,0.31659744541343965,576,7406,413.12670327766426,1112.6477923250918,1465.7049737657555,-3.2612907380363163,699.5210890474275,31.20691100000022
B789,global_direct_ew,Global · Direct · E+W,global,direct_fuel,ew,wide,heavy,254000.0,wide_held_narrow_train,0.6560115979951027,0.34398840200489733,206,2872,1947.372232031768,130.20817261849032,324.2678156319288,0.9272629947603442,-1817.1640594132775,42.359977399999934
B789,global_flow_energy,Global · Flow+Energy,global,fuel_flow,flow_energy,wide,heavy,254000.0,wide_held_narrow_train,0.6560115979951027,0.34398840200489733,206,2872,1947.372232031768,209.97034712833027,403.6225167691758,0.8873065962764835,-1737.4018849034376,40.80536200000006
B789,global_flow_per_mass_ew,Global · Flow/Mass · E+W,global,flow_per_mass,ew,wide,heavy,254000.0,wide_held_narrow_train,0.6560115979951027,0.34398840200489733,206,2872,1947.372232031768,366.38055072285164,619.5971630904911,0.7344376119873229,-1580.9916813089162,43.72373800000014
B789,hier_body_direct_ew,Body-class · Direct · E+W,hierarchical_body,direct_fuel,ew,wide,heavy,254000.0,wide_held_narrow_train,0.6560115979951027,0.34398840200489733,206,2872,1947.372232031768,207.9160982025103,423.81869271395385,0.875746697903425,-1739.4561338292576,29.049152799999774
B789,hier_body_flow_energy,Body-class · Flow+Energy,hierarchical_body,fuel_flow,flow_energy,wide,heavy,254000.0,wide_held_narrow_train,0.6560115979951027,0.34398840200489733,206,2872,1947.372232031768,565.0311208332379,940.4092401178672,0.3882394051835989,-1382.3411111985301,28.522576800000024
