feature,pearson_r_with_abs_error,worst10pct_mean_value,worst10pct_count
headwind_mps,NaN,0.0,6133
aircraft_type=B744,446.27276727783874,0.06130767976520463,6133
aircraft_type=B77W,362.7842061229516,0.07533018098809718,6133
aircraft_type=A359,145.29182600872377,0.31240828305886187,6133
aircraft_type=B738,55.9864283447319,0.02315343225175281,6133
aircraft_type=A20N,50.625135626528014,0.2199576063916517,6133
aircraft_type=A320,40.06469987719699,0.058535789988586336,6133
physics_fuel_kg,0.45321641321388373,3209.0408079184213,6133
duration_s,0.3710554842674946,1233.8970089678787,6133
ref_mass_kg,0.28713231595854166,164218.38822762106,6133
cruise_fraction,0.09195025125415167,0.7965402675713549,6133
max_altitude,0.06078501254224411,34943.91064731779,6133
mean_altitude,0.05321518787894876,34016.03124040089,6133
std_vertical_rate,-0.021781212716637143,137.0339616526257,6133
mean_groundspeed,-0.13326763418153773,232.82195779108153,6133
