duration_bucket,count,rmse,bias,mean_abs_error
< 2h,1593,126.31713765731241,30.12827881135118,70.36520388456607
2-4h,22254,111.24298502880555,21.97642808052936,55.859856271295754
4-8h,23470,94.19620634433497,15.961752779789313,47.387187853825274
>= 8h,14011,433.1438335422634,-5.040494602109289,178.3423523301707
