variant,rank_rmse,final_rmse,combined_rmse,heavy_rmse,narrow_rmse,a359_rmse,b77w_rmse,b744_rmse,combined_bias,delta_combined_vs_baseline,is_reference
v1.1_P1E_R1LGBM_descriptors,241.93963894183634,215.25242339318015,226.14117497557768,423.02408739331315,80.6586270080328,333.172624119999,840.7032341458843,945.761168936017,12.132334874224533,-2.1093649027430104,False
v1.1_P1E_R1Cat_descriptors,235.20920054445617,220.13342101674323,226.19197053079748,423.1291407290305,80.6586270080328,342.0384217942025,844.4634890663295,821.0201269454788,13.714090570735795,-2.0585693475232176,False
v1.1_P1E_P2Cat_heavy (current ref),234.7151814932538,221.40421827852128,226.74090279454668,424.2642619935686,80.6586270080328,343.8090838065408,830.5358203482057,883.0309862756891,11.84878045239167,-1.5096370837740096,True
v1.1_P1E_P2LGBM_heavy,242.39710669277449,217.20681359232714,227.46289765392962,425.7568155121191,80.6586270080328,336.3087442229451,856.0169142266978,936.5660630498519,14.909805976859557,-0.7876422243910781,False
P1E_phase_affine,235.2876464162842,223.66261075954688,228.3125525456305,427.51264374382095,80.6586270080328,333.1084113547912,839.6841887106854,979.8066875888937,24.059580133639002,0.06201266730980137,False
official_v1_recorded,235.43178035377107,223.75780318691548,228.42758423748452,427.76993277147454,80.62461666735177,332.88611290729244,839.1876685295235,984.4407866692899,23.95015413541877,0.17704435916382977,False
session_rebuild,235.43178035377107,223.75780318691548,228.42758423748452,427.76993277147454,80.62461666735177,332.88611290729244,839.1876685295235,984.4407866692899,23.95015413541877,0.17704435916382977,False
v1.1_P1E_P2XGB_heavy,243.62255815160714,232.05251047145612,236.67764973914532,444.7644691465077,80.6586270080328,345.18906970703875,855.5831094595076,991.7575788552206,18.120055301771966,8.427109860824629,False
