comparison,mae_new,mae_baseline,delta_mae,bootstrap_mean,bootstrap_median,ci_lower,ci_upper,bootstrap_p,wilcoxon_stat,wilcoxon_p,cohens_d,effect_size,interpretation
Operational Hybrid vs OpenAP Hybrid,86.76249109868334,86.30553201747955,0.4569590812037916,0.451691598421466,0.4496803122950368,-0.10022013507917328,1.0106374828331672,0.9477,134640170.0,0.977762096059669,0.011897706515849227,Negligible,No significant evidence
No Physics vs OpenAP Hybrid,89.45686033725492,86.30553201747955,3.1513283197753736,3.134578647510241,2.9214744414410134,0.4219512331529771,7.083467890132335,0.9944,139980628.0,0.9999999999998587,0.04311633700565074,Negligible,OpenAP Hybrid significantly better than No Physics
