model,target,mae,rmse,r2
Ensemble (6-base + ridge meta),mixed_direct_flow,90.89361151887124,239.18031519148374,0.9043622553837399
CatBoost FuelFlow E+W,fuel_flow,81.52727093438892,244.90252511788387,0.8997313923879887
XGB FuelFlow E+W,fuel_flow,88.86359760710022,246.3896156393341,0.8985099986746748
LGBM FuelFlow E+W,fuel_flow,86.34536621988102,249.83028795898275,0.8956557227676912
CatBoost Direct E+W,direct,117.76075013388203,253.20627934641618,0.8928166315615905
XGB Direct E+W,direct,122.92936017427012,259.74612427564523,0.8872084382148875
LGBM Direct E+W,direct,120.43454138709575,263.2611448457943,0.8841350738317232
OpenAP Physics,physics,451.45084419898865,1191.9545237105135,-1.375187125180124
