comparison,mae_new,mae_baseline,delta_mae,bootstrap_mean,bootstrap_median,ci_lower,ci_upper,bootstrap_p,wilcoxon_stat,wilcoxon_p,cohens_d,effect_size,interpretation
Flow + base vs Direct (E+W) ref,81.4872076225793,83.75996267132038,-2.2727550487410753,-2.286487998333862,-2.263052875590823,-3.836739518140278,-0.8517136948693432,0.0009,125332020.5,2.6865716382427023e-13,-0.02539953448222466,Negligible,Flow + base significantly better than Direct (E+W) ref
Flow + Mass vs Direct (E+W) ref,80.87471516344289,83.75996267132038,-2.8852475078774944,-2.9250441806164114,-2.965361654310179,-5.648409857065298,-0.018536720658622146,0.0246,124769960.0,3.84586668981183e-15,-0.028591328739196904,Negligible,Flow + Mass significantly better than Direct (E+W) ref
Flow + Energy vs Direct (E+W) ref,79.51580898236583,83.75996267132038,-4.244153688954555,-4.257356214886025,-4.237251899060048,-5.7274081292931225,-2.904992176065362,0.0,119786630.5,2.554932811509442e-37,-0.05394315786969282,Negligible,Flow + Energy significantly better than Direct (E+W) ref
Flow + Energy+Weather vs Direct (E+W) ref,80.05567957980793,83.75996267132038,-3.704283091512451,-3.7161852460535534,-3.7032276371893644,-5.103275404180522,-2.455580678903646,0.0,121038205.0,9.224377832349682e-31,-0.04708626504663492,Negligible,Flow + Energy+Weather significantly better than Direct (E+W) ref
Flow + Energy+Weather+Mass vs Direct (E+W) ref,79.57398182796997,83.75996267132038,-4.185980843350407,-4.214596378848825,-4.192354754448139,-6.2067038414119775,-2.405912995861519,0.0,122249328.0,4.775612282979594e-25,-0.04592246136220967,Negligible,Flow + Energy+Weather+Mass significantly better than Direct (E+W) ref
