stratification,group,n_types,direct_mae,flow_energy_mae,physics_mae,direct_rmse,flow_energy_rmse,flow_vs_direct_delta_mae,worst_type,worst_mae
mass_class,heavy,7,342.84448736188943,322.221878890928,1563.7100821852694,588.0391642088576,553.96093036225,-20.62260847096144,B77W,1055.3428027195043
mass_class,light,3,206.74723304335933,209.21507527138215,154.13606598030233,303.89589306882357,324.77782276606484,2.4678422280228176,A20N,294.4591127894223
mass_class,medium,2,189.41145708056706,153.54282977310692,305.8773054560187,302.33156406600165,246.9429023099624,-35.868627307460144,A321,193.7545413816964
body_class,narrow,5,199.81292265824243,186.94617707207203,214.83256177058882,303.27016146769483,293.6438545836239,-12.866745586170396,A20N,294.4591127894223
body_class,wide,7,342.84448736188943,322.221878890928,1563.7100821852694,588.0391642088576,553.96093036225,-20.62260847096144,B77W,1055.3428027195043
body_shift,narrow_held_wide_train,5,199.81292265824243,186.94617707207203,214.83256177058882,303.27016146769483,293.6438545836239,-12.866745586170396,A20N,294.4591127894223
body_shift,wide_held_narrow_train,7,342.84448736188943,322.221878890928,1563.7100821852694,588.0391642088576,553.96093036225,-20.62260847096144,B77W,1055.3428027195043
