aircraft_type,count,rmse,mean_residual,median_residual,overprediction_pct,underprediction_pct,mean_abs_residual,mean_duration_s,mean_altitude_m,mean_cruise_frac
A359,9122,342.0384217942025,-10.412744665244334,34.994460865562246,66.3560622670467,33.6439377329533,145.29182600872377,704.0628528831397,37300.296146141874,0.942094118369803
B77W,1031,844.4634890663295,-57.23253068866778,64.61602525700232,66.82832201745877,33.17167798254122,362.7842061229516,640.7788806983511,32609.047917077543,0.9062758062480828
B744,561,821.0201269454788,247.41469641420738,191.1413096748597,78.07486631016043,21.92513368983957,446.27276727783874,683.6102085561498,26157.088893820066,0.6451820633493873
