comparison,mae_new,mae_baseline,delta_mae,bootstrap_mean,bootstrap_median,ci_lower,ci_upper,bootstrap_p,wilcoxon_stat,wilcoxon_p,cohens_d,effect_size,interpretation
Weather Hybrid vs OpenAP Hybrid,86.58769351587448,86.30553201747955,0.28216149839492743,0.27798044627897034,0.25513112251689307,-0.40164360859273496,1.06702847731484,0.7667,133800298.5,0.8804424509836741,0.007438583181157952,Negligible,No significant evidence
No Physics vs OpenAP Hybrid,89.45686033725492,86.30553201747955,3.1513283197753736,3.134578647510241,2.9214744414410134,0.4219512331529771,7.083467890132335,0.9944,139980628.0,0.9999999999998587,0.04311633700565074,Negligible,OpenAP Hybrid significantly better than No Physics
Energy Hybrid vs OpenAP Hybrid,84.48070967501623,86.30553201747955,-1.824822342463321,-1.8257294033995466,-1.8402907488197258,-2.922318162758914,-0.6659943730569775,0.0017,120195854.0,4.212383937430988e-35,-0.030448346786392754,Negligible,Energy Hybrid significantly better than OpenAP Hybrid
Energy+Weather Hybrid vs OpenAP Hybrid,83.75996267132038,86.30553201747955,-2.5455693461591693,-2.5472637151512556,-2.553427996473232,-3.57955107325987,-1.5000284208505776,0.0,119959617.5,2.2556678135192656e-36,-0.03963388419914334,Negligible,Energy+Weather Hybrid significantly better than OpenAP Hybrid
MLP Residual vs OpenAP Hybrid,103.7293947941116,86.30553201747955,17.42386277663205,17.433857253009613,16.86333690695131,7.841153633242623,34.990852822815555,1.0,160415024.0,1.0,0.07922777615493107,Negligible,OpenAP Hybrid significantly better than MLP Residual
