split,n,n_flights,mae,rmse,bias,median_bias,pct_overpredict,mean_actual
rank,24158,1881,91.79541652283677,256.4987255180038,30.435920357947936,26.89174928275351,72.41493501117642,420.6936368162596
final,37170,2824,87.89933052682507,221.50572869135718,31.80027348690087,27.043656171297116,73.39252085014797,414.22870512415386
