feature,pearson,spearman
physics_fuel_kg,-0.9463937808257717,-0.8028319933212755
duration_s,-0.5629058838705912,-0.38946399093536066
cruise_fraction,-0.23300061032366595,-0.48930634599090833
climb_fraction,0.17570915716437388,0.4274825521353935
max_altitude,-0.15869343319511756,-0.3735305055879057
mean_altitude,-0.15832121009936312,-0.3901591002833441
median_altitude,-0.15777307469912913,-0.39527269444969115
max_groundspeed,-0.142383512979087,-0.18692377608386088
mean_groundspeed,-0.13699061140547444,-0.18885701304750452
std_vertical_rate,0.12881212953778748,0.45148232955742745
descent_fraction,0.12836653725630662,0.2494933295908154
has_acars_in_window,-0.12208802510725637,-0.24673973089680407
std_groundspeed,0.08673253525080213,0.4028129222771187
mean_vertical_rate,0.06804999095507931,0.20761693062853903
std_altitude,0.04891724482041319,0.35498371917896243
end_fraction_of_flight,-0.039184877408724596,-0.1362313213092227
start_fraction_of_flight,-0.025132902329021933,-0.1326449459231557
n_traj_pts,-0.009161562812450568,0.3017334979558842
