actual_decile,n,n_frac,mae,rmse,bias_mean_pred_minus_actual,median_bias,sse,sse_share,mean_actual_kg,mean_pred_kg
0,8866,0.14456691886250977,40.66632042762356,55.821573598901914,39.409670659069434,28.991137364479073,27626882.268924884,0.008094291680571306,30.37436902675389,69.78403968582332
1,4145,0.06758739890425254,35.18618886035814,48.438410236289634,29.077537248934608,26.49765837048089,9725328.884878121,0.0028493858958610683,63.132374321061526,92.20991156999614
2,8368,0.13644664753456823,38.68137598930113,48.02609099407291,37.20314522086087,37.1251632483432,19300837.322518684,0.005654876487581412,88.53194003632888,125.73508525718974
3,3632,0.05922254109052961,50.17589133479306,71.67801940428859,44.15155119243228,30.253208822070555,18660266.107500747,0.005467198044315114,98.74556009691628,142.89711128934854
4,5874,0.0957800678319854,41.03467138758719,64.41721152484762,19.518264300931158,5.789923021611024,24374616.12410151,0.007141423002057478,136.6383777841335,156.15664208506465
5,7952,0.12966344899556484,40.11970347682723,68.01485529788235,6.089407800066349,9.585372679469572,36786115.34355779,0.010777819389371283,193.46762438531184,199.55703218537823
6,4108,0.06698408557265849,73.46073875295664,112.7364033661993,28.67224405047427,-1.3873353766731498,52210612.213331774,0.015296982119160854,257.8026639337877,286.474907984262
7,6117,0.09974236890164362,111.19085713826563,162.2247949817031,95.26139138056048,88.04627742665446,160980380.08163574,0.04716500901354508,384.4542148935753,479.7156062741358
8,6133,0.10000326115314376,181.42754904896637,358.2395612942881,80.77105862077218,41.12231026040888,787082132.233695,0.2306041012102032,723.4883253194195,804.2593839401917
9,6133,0.10000326115314376,296.3960473975541,609.2370626664283,-62.49167178689697,1.7921662880244185,2276384374.3625183,0.6669489131573332,2240.4294466786237,2177.937774891727
