variant,hypothesis,expected_gain,rank_rmse,final_rmse,combined_rmse,rank_mae,final_mae,combined_mae,combined_bias,pct_overpredict,narrow_rmse,heavy_rmse,a20n_rmse,a320_rmse,a359_rmse,b77w_rmse,b744_rmse,cruise_rmse,climb_rmse,descent_rmse,ultralong_rmse,medium_rmse,delta_combined_vs_baseline,flow_lo,flow_hi,removed_pct
R2_baseline_no_filter,"Fuel-flow filter: [0.0, 1000000000.0]",audit,249.83028795898275,216.45797514775685,230.1821189028497,86.34536621988102,79.98547155426951,82.49072747867342,7.315464186918083,62.566853639446904,84.33208545611178,429.19141776996685,83.09917504613334,71.35719690585142,326.9986825022909,863.6263706873476,1012.0430554366222,249.12897329725297,206.2913166404454,127.61532004639155,444.8198859419313,97.48190533032924,1.9315790245290145,0.0,1000000000.0,0.0
R2_filter_flow_geq_0.05,"Fuel-flow filter: [0.05, 1000000000.0]",audit,251.07183579827066,218.470606592308,231.86055803226992,86.66911515749857,80.07145547044165,82.67037052914112,9.775596602987672,64.1517740673102,85.88122467251645,431.88578994909994,86.04579584590105,72.0469915464491,335.44667762986063,877.5597302798934,983.255703903295,251.01061926321844,209.36370016559192,125.93822987539063,448.4453317543928,97.66434775113568,3.610018153949227,0.05,1000000000.0,0.26379460985281267
R2_filter_flow_geq_0.1,"Fuel-flow filter: [0.1, 1000000000.0]",audit,252.397617291932,219.560881172905,233.04871513276697,91.95791349213084,85.36829862800332,87.96404471278666,26.67473895740134,71.75352204539526,101.71272446792533,424.4438277731279,107.46445666181471,73.89188257254656,320.6909637829911,864.435376684299,1007.3058149907238,252.26597117674527,211.6214363872991,125.36296916306739,440.92871981661176,112.27350505782152,4.798175254446278,0.1,1000000000.0,1.0593789905235567
R2_filter_flow_leq_6.5,"Fuel-flow filter: [0.0, 6.5]",audit,245.1530157664862,222.5597848168283,231.72270235088735,89.38672841697515,83.27040871656361,85.67971688448921,22.58586980129801,70.25013044612575,106.91237773599188,417.9361143488058,118.48979668426607,80.5617466476819,336.5360337690266,875.2025143674628,836.229434250007,252.88761814666248,197.36539582948473,120.52809590405676,434.70330353193685,116.5888575269816,3.4721624725666516,0.0,6.5,0.13273741514886753
R2_filter_flow_leq_6.0,"Fuel-flow filter: [0.0, 6.0]",audit,243.01345930129838,224.676436258621,232.07268104422502,89.57674817818317,82.84552369316171,85.49705188761038,17.67003091353433,68.25593529872162,106.89300271512903,418.67461757748606,120.00602499918598,76.23387114949773,339.13002536096576,890.4197565976315,798.4262410637848,253.73286368630727,189.6127969058434,125.74165870360102,434.7471486484604,117.35844590314736,3.822141165904327,0.0,6.0,0.16130116271254788
R2_filter_flow_0.05_to_6.5,"Fuel-flow filter: [0.05, 6.5]",audit,245.51823331514052,225.33577550993337,233.49428157220237,91.43532849599993,85.50158514018743,87.83897380425144,26.03994913678474,71.4534959561701,111.27434504126055,418.45175146777507,125.87878632370908,76.39188519436628,340.917821836831,869.43478690139,827.3872764788603,255.27610297639757,194.9486190509926,121.63628058097655,434.92835736333086,121.73854116856853,5.243741693881674,0.05,6.5,0.3965320250016802
