epoch,train_loss,train_rmse,train_mae,train_bias,train_r2,val_rmse,val_mae,val_bias,val_r2,val_teacher_rmse,train_teacher_rmse,lr
1.0,1070651.0093085107,1058.5287574873605,558.3214721679688,-558.2066650390625,-0.3850004976558248,1030.9283967136869,549.3548583984375,-549.2451171875,-0.3961173071320978,244.14115486523167,251.78373587017313,0.001
2.0,1056343.670212766,1052.749798597296,547.6890258789062,-547.0945434570312,-0.3699191639821524,1025.0902516049625,538.7603149414062,-538.1331176757812,-0.3803496618603639,244.14115486523167,251.78373587017313,0.001
3.0,1043060.7486702128,1045.9768218617844,535.4248657226562,-533.935302734375,-0.3523488281643763,1018.2491357396179,526.58349609375,-524.9730224609375,-0.3619871386090687,244.14115486523167,251.78373587017313,0.001
4.0,1026557.0611702128,1038.3414558426027,522.6915893554688,-518.8272094726562,-0.3326772816161252,1010.5386511018341,513.9398193359375,-509.8495178222656,-0.3414384929027783,244.14115486523167,251.78373587017313,0.001
5.0,1010878.5917553192,1029.9719266354505,509.6711120605469,-501.94287109375,-0.31127983368080314,1002.0892044875864,501.012451171875,-492.9270324707031,-0.3190998568906316,244.14115486523167,251.78373587017313,0.001
6.0,993790.8550531915,1020.9332628235479,495.0205993652344,-485.86822509765625,-0.2883661757997158,992.9605291060761,486.42926025390625,-477.0130310058594,-0.29517626438487654,244.14115486523167,251.78373587017313,0.001
7.0,975442.5452127659,1011.2755620181954,481.6046447753906,-470.60052490234375,-0.2641064053640565,983.2135602725613,473.3992614746094,-461.814453125,-0.269873982815537,244.14115486523167,251.78373587017313,0.001
8.0,956893.1422872341,1001.0651470845652,467.7222595214844,-455.1728210449219,-0.2387089905998947,972.9016304477577,459.6144104003906,-446.84173583984375,-0.24337682570554398,244.14115486523167,251.78373587017313,0.001
9.0,934523.0997340425,990.3640111994689,453.3193054199219,-439.6976623535156,-0.21236756061039963,962.0936719605409,445.4460144042969,-431.835205078125,-0.21590493884983708,244.14115486523167,251.78373587017313,0.001
10.0,910865.2393617021,979.2075313429779,438.8257751464844,-421.9951171875,-0.1852066983300178,950.8192662717262,431.2208251953125,-414.407470703125,-0.18757446954331147,244.14115486523167,251.78373587017313,0.001
11.0,889779.6462765958,967.6605277881047,425.5473327636719,-406.4366149902344,-0.15741913748634406,939.1474644692943,418.1208190917969,-399.0234680175781,-0.158597232746422,244.14115486523167,251.78373587017313,0.001
12.0,865033.2712765958,955.6939176791237,413.10650634765625,-394.02020263671875,-0.1289696089325012,927.0513229173034,405.6361389160156,-386.7613220214844,-0.12894416228669026,244.14115486523167,251.78373587017313,0.001
13.0,844046.1462765958,943.3419860659532,400.2821960449219,-380.05535888671875,-0.09997530671895305,914.5626580920342,392.7585754394531,-372.71441650390625,-0.09873215925591738,244.14115486523167,251.78373587017313,0.001
14.0,820095.1795212766,930.6530562667173,386.9726867675781,-364.93194580078125,-0.07058270435204106,901.7374122320883,379.4497985839844,-357.67742919921875,-0.06813238621877837,244.14115486523167,251.78373587017313,0.001
15.0,795043.2739361703,917.683410522416,373.96343994140625,-348.90185546875,-0.04095119642728817,888.6320845338645,366.4291076660156,-341.67034912109375,-0.037310766258638495,244.14115486523167,251.78373587017313,0.001
16.0,770180.727393617,904.4937746408239,361.5778503417969,-335.0638427734375,-0.0112435656111185,875.3090442423858,354.1868591308594,-327.6826477050781,-0.006439649945445991,244.14115486523167,251.78373587017313,0.001
17.0,748298.0638297872,891.1598430927501,350.8062438964844,-320.65478515625,0.01835191474074227,861.8358762208808,343.64752197265625,-313.5021057128906,0.02430508001107834,244.14115486523167,251.78373587017313,0.001
18.0,725368.6063829787,877.6142245144108,341.01116943359375,-304.1912841796875,0.047967192613922904,848.1533180507771,333.98883056640625,-297.02593994140625,0.05503953918924687,244.14115486523167,251.78373587017313,0.001
19.0,699300.9361702128,863.8254949994135,330.3975830078125,-294.71136474609375,0.0776481089887362,834.2474545162719,323.551513671875,-287.9815673828125,0.08577164561196249,244.14115486523167,251.78373587017313,0.001
20.0,674510.5212765958,849.8033541218998,320.171142578125,-282.74932861328125,0.10734942538083536,820.0785879535438,313.3946228027344,-276.1679992675781,0.11656245626053918,244.14115486523167,251.78373587017313,0.001
21.0,651730.4667553192,835.6167695688498,310.1317443847656,-271.9969482421875,0.13690440287444083,805.7381937080463,303.39141845703125,-265.8033447265625,0.14718897254568308,244.14115486523167,251.78373587017313,0.001
22.0,627550.5159574468,821.3232042176846,300.5631408691406,-258.1740417480469,0.16617906923587156,791.3026620723174,293.7920837402344,-252.64505004882812,0.17747300587858028,244.14115486523167,251.78373587017313,0.001
23.0,604934.0073138297,806.8521803201274,290.5123596191406,-247.75942993164062,0.19530266889077474,776.6346683884797,283.8087158203125,-242.49546813964844,0.2076839516061424,244.14115486523167,251.78373587017313,0.001
24.0,582032.7765957447,792.3422948830026,280.6441955566406,-238.02809143066406,0.223984697939825,761.9530572863098,274.3039855957031,-233.04598999023438,0.23735691259725256,244.14115486523167,251.78373587017313,0.001
25.0,557796.2566489362,777.776812532989,270.5842590332031,-227.66989135742188,0.25225315321050223,747.2168810808876,264.47930908203125,-222.94309997558594,0.2665706995577426,244.14115486523167,251.78373587017313,0.001
26.0,536105.8683510638,763.1867998132337,261.4057922363281,-218.94407653808594,0.28004341648997966,732.4559681792948,255.55108642578125,-214.4901580810547,0.29526157690059995,244.14115486523167,251.78373587017313,0.001
27.0,512404.04388297873,748.6207436962638,253.2289276123047,-204.48541259765625,0.30726310142005564,717.6943176814771,247.62152099609375,-200.19204711914062,0.3233814163898344,244.14115486523167,251.78373587017313,0.001
28.0,491656.5232712766,734.0953908321351,245.33995056152344,-194.63491821289062,0.3338844046365982,702.9961925864325,240.05587768554688,-190.49075317382812,0.3508114490731201,244.14115486523167,251.78373587017313,0.001
29.0,470431.5206117021,719.5961474962334,236.51124572753906,-187.38058471679688,0.3599376727097259,688.2204803595687,231.40914916992188,-183.7958984375,0.37781420582387637,244.14115486523167,251.78373587017313,0.001
30.0,449753.5545212766,705.202569567925,229.1093292236328,-175.42422485351562,0.3852870261062993,673.5885490693008,224.43772888183594,-171.99647521972656,0.40398896946823293,244.14115486523167,251.78373587017313,0.001
31.0,430415.25265957444,690.8753572401868,220.25299072265625,-170.8845977783203,0.41001086840731216,658.9675855067005,215.88987731933594,-168.0317840576172,0.42958227692531215,244.14115486523167,251.78373587017313,0.001
32.0,409003.40890957444,676.6687376680707,212.6002197265625,-164.7522735595703,0.4340255424737973,644.5045322125745,208.5386199951172,-162.16390991210938,0.45434661010845867,244.14115486523167,251.78373587017313,0.001
