epoch,train_loss,mean_beta,train_rmse,val_rmse,val_mae,val_bias,val_r2,val_teacher_rmse,lr
1.0,1075416.3018617022,0.846846784682984,1031.864817332109,1003.999096169022,503.96185302734375,-496.8192138671875,-0.32413281932105464,244.14115486523167,0.001
2.0,1018783.522606383,0.8468300915778951,1000.2254300788196,972.0747740007912,466.907470703125,-431.9027099609375,-0.24126426420855696,244.14115486523167,0.001
3.0,944855.1156914893,0.8469824144180785,964.5116604702125,935.9460751452839,415.7225036621094,-394.9501037597656,-0.15071178540185293,244.14115486523167,0.001
4.0,875666.8390957447,0.8469674993068614,926.4674920715574,897.5017252378134,376.15484619140625,-350.7922668457031,-0.058121381753835744,244.14115486523167,0.001
5.0,804261.4069148937,0.8469093581463428,886.9703729966584,857.6027693503526,341.2428283691406,-304.9811096191406,0.03386624522587767,244.14115486523167,0.001
6.0,733041.8164893617,0.8468794594419763,846.3247303243083,816.5754875551794,311.55584716796875,-277.47723388671875,0.12409383324484324,244.14115486523167,0.001
7.0,662308.7859042553,0.8469450943013455,804.710547138373,774.5198452207343,283.5874938964844,-242.46815490722656,0.2119931255640305,244.14115486523167,0.001
8.0,598098.4055851063,0.846793032707052,762.8260628034246,732.1766254029797,256.028076171875,-210.04946899414062,0.2957990182117233,244.14115486523167,0.001
9.0,531090.7260638297,0.8468945901444618,721.3038992824155,690.1888742545437,233.4855499267578,-188.6349334716797,0.3742500627664085,244.14115486523167,0.001
10.0,472027.3404255319,0.8468734495183254,680.4398006787807,648.82031371968,211.54391479492188,-158.40281677246094,0.4470144493757724,244.14115486523167,0.001
11.0,419132.77659574465,0.8469041015239472,641.483035295215,609.0864223107321,191.6943359375,-140.08116149902344,0.5126704537751536,244.14115486523167,0.001
12.0,369024.58277925535,0.8469776790192787,604.3018910448038,570.8535251749696,176.74314880371094,-116.2513427734375,0.5719305045468783,244.14115486523167,0.001
13.0,327661.9261968085,0.8469056233446649,569.1862771799051,535.197775814175,164.06979370117188,-101.05056762695312,0.6237352740121067,244.14115486523167,0.001
14.0,285592.23636968085,0.8469637886006781,534.9268942172239,500.8376654854691,150.0384521484375,-91.4504623413086,0.6704973806716472,244.14115486523167,0.001
15.0,250451.9301861702,0.8469023818665362,502.95377297900865,468.59131957054734,140.0929412841797,-77.83685302734375,0.7115613961811813,244.14115486523167,0.001
16.0,219685.09973404257,0.8468355003823625,472.74905904787994,439.6354143146762,131.9127197265625,-69.73963165283203,0.7461072820978255,244.14115486523167,0.001
17.0,192199.09375,0.8469320548341629,444.6095290686642,411.7792421351873,124.39402770996094,-63.24907302856445,0.7772622613477276,244.14115486523167,0.001
18.0,169676.45196143616,0.8468578457832336,420.3447528376497,388.65351113929825,116.06367492675781,-49.13954544067383,0.8015778745995031,244.14115486523167,0.001
19.0,151637.81349734042,0.8468836495216857,399.9951311618484,369.9813274519527,111.78436279296875,-47.02465057373047,0.8201855790785908,244.14115486523167,0.001
20.0,134988.59956781915,0.8469199715776646,380.7033768119099,352.37993998573904,108.34208679199219,-41.57712936401367,0.8368874937617523,244.14115486523167,0.001
21.0,120372.09607712766,0.8469593651751255,364.3541662727807,336.74252212631757,105.41824340820312,-35.357112884521484,0.8510430309072825,244.14115486523167,0.001
22.0,110146.8828125,0.8468659849877053,349.0817629416631,324.6293104919077,100.74508666992188,-33.79820251464844,0.8615667659651032,244.14115486523167,0.001
23.0,99984.92428523937,0.8468273675188105,335.83833969949677,311.01931057833707,97.0876235961914,-24.644641876220703,0.8729309991854511,244.14115486523167,0.001
24.0,92364.02451795213,0.8468552168379438,325.3628962519707,301.542148094496,95.4556655883789,-26.911720275878906,0.8805569307056771,244.14115486523167,0.001
25.0,85066.5095162899,0.8469136534853184,315.7797232474915,294.0265007812182,94.27265167236328,-18.34287452697754,0.8864367384529295,244.14115486523167,0.001
26.0,79359.76965591755,0.8469649261616646,306.91566025261096,286.7453646196129,91.11058807373047,-22.41713523864746,0.8919915538213988,244.14115486523167,0.001
27.0,77097.19859541224,0.8469782890157497,300.017248765751,280.92079345055305,89.62792205810547,-23.390878677368164,0.8963348742090577,244.14115486523167,0.001
28.0,70787.11830950798,0.8469014002921733,293.6088935517235,275.90160387782714,88.4687728881836,-19.792713165283203,0.9000061347047105,244.14115486523167,0.001
29.0,67358.43922456782,0.846887082495588,288.02365274456054,271.17623756792733,87.96450805664062,-15.705343246459961,0.9034019926256351,244.14115486523167,0.001
30.0,64190.83099235372,0.8468787327725836,282.5339042742735,268.32804044043735,86.85798645019531,-14.2800874710083,0.9054204976887139,244.14115486523167,0.001
31.0,61905.19697473404,0.8469098223016617,278.52448529437254,265.4529715469159,86.29402160644531,-15.163125991821289,0.9074364315645689,244.14115486523167,0.001
32.0,60411.54550365692,0.8469340585647746,275.4618176602816,263.48626950142614,86.18555450439453,-11.111041069030762,0.9088029303922207,244.14115486523167,0.001
33.0,58007.32027094415,0.846863698452077,271.57752136814497,260.20215867729377,85.69613647460938,-7.844813346862793,0.9110621356387398,244.14115486523167,0.001
34.0,56176.26067985372,0.8469439377176001,268.56969435359434,259.7749372077994,84.64862060546875,-16.69517707824707,0.9113539469955142,244.14115486523167,0.001
35.0,54633.8544921875,0.8468294143676758,265.2844283539292,257.67589432807523,84.22357940673828,-13.464316368103027,0.9127807213875421,244.14115486523167,0.001
36.0,53489.42763048537,0.8469617189245021,262.87631285205566,255.96345356062375,83.84101867675781,-5.876724720001221,0.9139361383805351,244.14115486523167,0.001
37.0,52277.606985538565,0.8468726328078736,259.97042891224237,255.26600555637074,83.3065185546875,-11.7315673828125,0.9144045122025002,244.14115486523167,0.001
38.0,50982.27353100067,0.846883568357914,258.4619832289725,253.89088500099265,83.3512191772461,-16.046579360961914,0.9153242357499698,244.14115486523167,0.001
39.0,49975.408203125,0.8468642577211908,255.5485265528838,251.9741292041632,84.5536880493164,3.162539482116699,0.9165979333663994,244.14115486523167,0.001
40.0,48323.71575797872,0.8469486414118016,253.54326274611256,251.7312689896411,82.48786163330078,-13.525178909301758,0.9167586267093959,244.14115486523167,0.001
41.0,47726.52208693484,0.8469401458476452,251.8945335348984,252.30973353618003,83.17730712890625,-16.698177337646484,0.916375618996643,244.14115486523167,0.001
42.0,46645.54122340425,0.8469050551982636,249.9077204211683,250.9319353685574,83.2509765625,-10.018158912658691,0.9172864275554407,244.14115486523167,0.001
43.0,46512.102102726065,0.8468538028128604,247.95391771537246,249.10601053929116,82.85260009765625,-3.207113027572632,0.9184857908761621,244.14115486523167,0.001
44.0,45392.45852726064,0.8469421850874069,246.32565548171038,247.8008270516381,81.76787567138672,-6.185557842254639,0.9193377356630268,244.14115486523167,0.001
45.0,44781.5380859375,0.84688112837203,245.6720530988995,247.96775573531264,82.64106750488281,-4.705990791320801,0.9192290243160859,244.14115486523167,0.001
46.0,43954.95392495013,0.84693828288545,244.44441856355994,246.4134816598519,83.94602966308594,3.4191832542419434,0.9202384038380987,244.14115486523167,0.001
47.0,43362.74711186835,0.8469289427107953,241.49682995218586,246.63186350190438,82.35517883300781,-4.869185447692871,0.9200969651256637,244.14115486523167,0.001
