run_name,final_rmse,final_mae,final_bias,final_r2,type_macro_rmse,body_macro_rmse,gap_flight,gap_type,degradation_ratio_type,delta_final_vs_fixed,delta_type_vs_fixed,lam,weight_fn,static_beta,uncertainty_source,n_params,combined_rmse,rank_rmse,teacher_final_rmse,teacher_type_macro,delta_combined_vs_fixed,boot_delta_final,boot_delta_final_ci_lo,boot_delta_final_ci_hi,boot_delta_final_sig,gap_increase_type_vs_fixed
fixed_kd_large,215.85043921364056,76.6889542993193,5.253184659896769,0.9220401093634516,270.610627481044,239.63220690711447,2.2286406706471666,13.817644354446657,1.2536950513832583,0.0,0.0,0.0,fixed,0.9,none,2887425,225.948790821556,240.66018847898383,,,,,,,,
static_beta0.7,218.8730974696216,76.98423544273331,8.163085312704208,0.919841401394885,280.8238342580937,242.4330923515132,5.251298926628209,24.030851131496377,1.2830440904098346,3.0226582559810424,10.21320677704972,0.0,exp,0.7,ensemble_std,2887425,228.70707890866643,243.0620490591104,213.6217985429934,256.79298312659733,2.7582880871104294,3.0226582559810424,-0.09743300557573971,6.228112242923358,false,10.21320677704972
static_beta0.8,216.44965681499852,76.83089100211683,7.191272194517418,0.9216066631217792,273.79072707348763,240.00945203375312,2.8278582720051304,16.997743946890296,1.2649164295395443,0.5992176013579638,3.1800995924436393,0.0,exp,0.8,ensemble_std,2887425,226.18406005007074,240.39301104694695,213.6217985429934,256.79298312659733,0.23526922851473842,0.5992176013579638,-1.0635564421360288,2.239648507524279,false,3.1800995924436393
static_beta0.9,216.10006207998725,76.6269898635762,7.694528784839844,0.9218596897716366,269.7604268496793,239.54294213930132,2.4782635369938646,12.967443723081942,1.248312583778112,0.24962286634669795,-0.8502006313647144,0.0,exp,0.9,ensemble_std,2887425,226.15642775490346,240.81057865237392,213.6217985429934,256.79298312659733,0.2076369333474588,0.24962286634669795,-1.1992561458446458,1.6301942981705522,false,-0.8502006313647144
vgkd_exp_lam0.0,216.10006207998725,76.6269898635762,7.694528784839844,0.9218596897716366,269.7604268496793,239.54294213930132,2.4782635369938646,12.967443723081942,1.248312583778112,0.24962286634669795,-0.8502006313647144,0.0,exp,,ensemble_std,2887425,226.15642775490346,240.81057865237392,213.6217985429934,256.79298312659733,0.2076369333474588,0.24962286634669795,-1.1992561458446458,1.6301942981705522,false,-0.8502006313647144
vgkd_exp_lam0.25,227.7863296792848,76.63987230315756,5.349358900666537,0.9131798240691759,296.9847189084484,251.40253688402652,14.164531136291401,40.19173578185104,1.3037864007317406,11.935890465644235,26.37409142740438,0.25,exp,,ensemble_std,2887425,237.8152562181733,252.46912921203455,213.6217985429934,256.79298312659733,11.866465396617286,11.935890465644235,5.384929229284866,19.264516157517352,true,26.37409142740438
vgkd_exp_lam0.5,231.30435920723312,76.06720907668662,1.7822557068070697,0.9104773389405523,302.09535062529136,255.06194650325037,17.68256066423973,45.302367498694025,1.3060512636280852,15.453919993592564,31.48472314424737,0.5,exp,,ensemble_std,2887425,241.26577981424506,255.83625113477433,213.6217985429934,256.79298312659733,15.316988992689062,15.453919993592564,7.285928129138495,24.067919329739787,true,31.48472314424737
vgkd_exp_lam1.0,232.92288479008917,77.85089363645832,4.142173421728709,0.9092201066107637,301.04867033062425,257.0097684339164,19.301086247095782,44.25568720402691,1.2924821474795414,17.072445576448615,30.438042849580256,1.0,exp,,ensemble_std,2887425,240.37334295543496,251.40593060981445,213.6217985429934,256.79298312659733,14.424552133878962,17.072445576448615,9.720942180429287,25.163817728519852,true,30.438042849580256
vgkd_exp_lam2.0,236.8538035978788,79.47693865472657,7.65597661486461,0.9061301606547418,315.5325376796922,261.32439369201427,23.232005054885406,58.73955455309488,1.3321826919671982,21.00336438423824,44.92191019864822,2.0,exp,,ensemble_std,2887425,243.82541769885572,254.17891679673448,213.6217985429934,256.79298312659733,17.876626877299714,21.00336438423824,13.172686956827944,29.484529322069374,true,44.92191019864822
vgkd_lin_lam0.25,234.03745126356975,78.09650852936132,6.69359344977419,0.9083492406498087,309.75524002871583,257.76886263797365,20.41565272057636,52.9622569021185,1.3235285137329313,18.187012049929194,39.14461254767184,0.25,linear,,ensemble_std,2887425,246.03585840183086,263.43172948896967,213.6217985429934,256.79298312659733,20.087067580274862,18.187012049929194,9.814437294390505,27.835748459168997,true,39.14461254767184
vgkd_lin_lam0.5,237.39326109644472,78.09449239814334,3.1575405696813723,0.9057020783919364,314.01161602897844,261.17491429263043,23.77146255345133,57.2186329023811,1.3227486516620466,21.542821882804162,43.400988547934446,0.5,linear,,ensemble_std,2887425,244.68660446685095,255.50202530291912,213.6217985429934,256.79298312659733,18.73781364529495,21.542821882804162,13.094768571338975,30.841133853623177,true,43.400988547934446
vgkd_lin_lam1.0,237.73808857027436,79.27417411311335,4.38571182996387,0.9054279330349362,315.94821663644893,262.55282976430567,24.116290027280968,59.1552335098516,1.3289760111075175,21.8876493566338,45.33758915540494,1.0,linear,,ensemble_std,2887425,245.1158180967196,256.05252153460833,213.6217985429934,256.79298312659733,19.167027275163605,21.8876493566338,13.94038673122427,29.92789214568188,true,45.33758915540494
vgkd_lin_lam2.0,240.87727207508854,80.21904772413023,6.383841990469872,0.9029139132905463,326.58145251782645,265.99059524476064,27.255473532095152,69.78846939122911,1.3558001952796168,25.026832861447986,55.97082503678246,2.0,linear,,ensemble_std,2887425,247.45104731019288,257.2377121143415,213.6217985429934,256.79298312659733,21.502256488636874,25.026832861447986,16.989416235865882,33.395832263989014,true,55.97082503678246
vgkd_oracle_lam1.0,242.1620351724761,83.2506074711417,7.579487853393472,0.9018754984783031,322.52703773447223,267.67504426516035,28.540236629482706,65.7340546078749,1.331864581930679,26.31159595883554,51.91641025342824,1.0,exp,,oracle_abs_error,2887425,248.60158823095475,258.19614703346423,213.6217985429934,256.79298312659733,22.652797409398744,26.31159595883554,16.861779008405467,36.80619112487955,true,51.91641025342824
vgkd_random_lam1.0,218.63915073360377,75.89699610657914,2.7397641378874407,0.9200126679466469,275.10030710517583,241.8379897346711,5.0173521906103815,18.307323978578495,1.2582390033172328,2.788711519963215,4.489679624131838,1.0,exp,,random,2887425,229.2364187019919,244.64673675337468,213.6217985429934,256.79298312659733,3.287627880435906,2.788711519963215,0.4709169005993926,4.788110465002564,true,4.489679624131838
