name,alpha,beta,val_rmse,val_mae,val_bias,val_r2,student_vs_teacher_rmse,teacher_student_rmse_gap,teacher_val_rmse,best_epoch,epochs_ran,train_seconds
KD-1,0.1,0.9,188.3065675990838,76.90866088867188,-4.328866481781006,0.9504384624287427,110.80465033730397,-8.4658415156714,196.7724091147552,80,80,438.73443603515625
KD-2,0.2,0.8,189.48203159014238,76.90636444091797,1.9527095556259155,0.9498177763367122,110.19787649953213,-7.290377524612808,196.7724091147552,80,80,281.6672430038452
KD-0,0.0,1.0,189.48682682800197,77.92049407958984,5.330819129943848,0.949815236372984,112.10870331160162,-7.285582286753225,196.7724091147552,80,80,268.941659450531
KD-3,0.3,0.7,191.5799839346469,76.10303497314453,2.5890467166900635,0.9487003854735617,113.55202408708993,-5.192425180108302,196.7724091147552,78,80,281.32406640052795
KD-4,0.5,0.5,196.783588322875,76.23003387451172,4.703196048736572,0.9458757878122689,125.14686965244981,0.011179208119813211,196.7724091147552,78,80,280.19754815101624
KD-5,0.7,0.3,209.22305143126903,77.48611450195312,-4.209255695343018,0.9388166995963253,139.10023206234968,12.450642316513836,196.7724091147552,78,80,278.25974774360657
KD-7,1.0,0.0,221.3150319264281,81.2995834350586,-5.581536769866943,0.9315401943325331,162.98589165454217,24.542622811672913,196.7724091147552,78,80,278.015988111496
KD-6,0.9,0.1,222.04391848918374,80.40188598632812,-6.666625499725342,0.9310885159963521,159.53540823439846,25.271509374428547,196.7724091147552,78,80,274.35032963752747
