epoch,train_loss,train_rmse,train_mae,train_bias,train_r2,val_rmse,val_mae,val_bias,val_r2,val_teacher_rmse,train_teacher_rmse,lr
1.0,1039403.039893617,1031.8738690332896,512.6672973632812,-505.7972717285156,-0.3161271141406752,1004.0082727189807,503.96923828125,-496.82659912109375,-0.32415702457491347,244.14115486523167,251.78373587017313,0.001
2.0,975324.7353723404,1000.273137441635,475.0718688964844,-440.4834899902344,-0.23674971477586837,972.1226294893343,467.2884826660156,-431.5176086425781,-0.24138648272823127,244.14115486523167,251.78373587017313,0.001
3.0,907770.4481382979,964.5126971207627,423.6971130371094,-400.5255126953125,-0.149901142551067,935.9513160424191,416.08673095703125,-393.3667297363281,-0.1507246724241813,244.14115486523167,251.78373587017313,0.001
4.0,835245.5093085107,926.4584954915947,383.5350646972656,-359.9994201660156,-0.060953972555338964,897.4864607232972,375.89019775390625,-352.83544921875,-0.058085389462377846,244.14115486523167,251.78373587017313,0.001
5.0,763984.5757978724,886.9839423368103,348.6038513183594,-311.7271423339844,0.027530202128719594,857.6017373161706,341.5043029785156,-304.5051574707031,0.03386857050395509,244.14115486523167,251.78373587017313,0.001
6.0,693619.4414893617,846.440101280761,319.7721862792969,-285.24652099609375,0.11440110073328158,816.6717777631533,312.9309997558594,-279.1717224121094,0.1238872481562997,244.14115486523167,251.78373587017313,0.001
7.0,624299.8344414893,804.8279910301239,289.8348083496094,-246.95120239257812,0.1993351709009884,774.6088979776966,283.3164978027344,-241.61766052246094,0.21181190820891382,244.14115486523167,251.78373587017313,0.001
8.0,558151.5824468085,762.9925355124806,262.0119934082031,-217.92013549804688,0.28040989049564347,732.1745755165571,255.92306518554688,-213.35472106933594,0.295802961331349,244.14115486523167,251.78373587017313,0.001
9.0,493826.03125,721.6057637179733,238.98045349121094,-192.73150634765625,0.3563576765217177,690.2804855879202,233.93751525878906,-189.4466552734375,0.3740839355140546,244.14115486523167,251.78373587017313,0.001
10.0,432890.52260638296,680.7852698946629,215.95559692382812,-165.3748321533203,0.4271183548876958,648.754605117822,211.9171600341797,-162.58123779296875,0.44712644977609983,244.14115486523167,251.78373587017313,0.001
