aircraft_type,body_class,n,train_n,is_rare,large_rmse,ft_rmse,ft_advantage,mean_cls_entropy,top1_mass,top3_mass,effective_n_tokens,aircraft_cat_mass,physics_mass,trajectory_mass,weather_mass,operational_mass,other_cat_mass,cls_self_mass,js_shift_from_common,entropy_layer0,entropy_L0H0,entropy_L0H1,entropy_L0H2,entropy_L0H3,entropy_L0H4,entropy_L0H5,entropy_L0H6,entropy_L0H7,entropy_layer1,entropy_L1H0,entropy_L1H1,entropy_L1H2,entropy_L1H3,entropy_L1H4,entropy_L1H5,entropy_L1H6,entropy_L1H7,entropy_layer2,entropy_L2H0,entropy_L2H1,entropy_L2H2,entropy_L2H3,entropy_L2H4,entropy_L2H5,entropy_L2H6,entropy_L2H7
A20N,narrowbody,17056,35662,false,72.0991546353218,78.78833623069471,-6.689181595372915,1.846522307397333,0.49610539300692236,0.6225685443603355,17.462345350023504,0.004762777883574645,0.47708523388092333,0.24510412335336404,0.10309646790847182,0.04621649105449104,0.11143543871729433,0.01229946712692339,0.01125661563574368,0.1551574100109185,0.001065242254661386,1.2058376275694582e-8,0.016737946691429438,0.04758596061257098,0.012749748050935079,1.1473375711325848,0.015716505251754092,0.00006629403503606353,1.8605681270458052,3.6095956208893774,3.5252542761460255,2.4585395828247645,1.3312609660117845,0.7829666932625039,2.1902230412271706,0.3983741064674958,0.5883307295373191,3.523841385335808,3.8491083487700566,2.7031933988302974,3.8375147298733245,4.034980154618984,3.0792227353285613,3.4193145802863096,3.3781536762754643,3.8892434587034677
A21N,narrowbody,792,2870,false,59.74225936445842,60.73646806218876,-0.9942086977303433,1.7940310688331873,0.5558576849524421,0.6311473479927189,20.688690963417592,0.01213495379414955,0.5214184533541251,0.22282723064600218,0.08174569798031389,0.06553222693390015,0.08923464788199224,0.007106792388690842,0.017125855510258997,0.06199312950204823,0.000355024882736207,6.734814568324511e-7,0.047025315284959165,0.008734638047523393,0.008948162644929824,0.4241949020628582,0.006686316940720098,2.6712021476623515e-9,1.5571361907263266,3.8449026945263447,3.877682535937338,2.314453329401787,0.3123453585035468,0.2468570951619567,1.7689830512743245,0.026191034213234425,0.06567442679208195,3.7629638945665023,4.02116870970437,2.982994967187294,3.8862989674312898,3.9934269996604534,3.51279183725516,3.8797556911454056,3.8202639875387905,4.007009996609255
A319,narrowbody,221,233,false,53.49459092733725,75.22069728777582,-21.72610636043857,1.844613931837125,0.5319990628984719,0.6157635782099418,21.048818558049955,0.008668863928847319,0.5011646881092727,0.17835290827767342,0.11697335969403858,0.08491779584016196,0.10228062753156839,0.007641761134930663,0.05880257373196297,0.0237271459102085,0.00006063049965490059,1.657861181669773e-9,0.097041461169421,0.07579643915995127,0.0028666690564436753,0.0014184309669814548,0.012633516806033973,1.796532053991224e-8,1.6893778748431143,3.8172797574177046,3.8366409351383397,2.2420670905264255,0.5418228356449856,0.23419819692756214,1.902087125573223,0.3267295317955145,0.6141975257211608,3.820736781369507,4.03054625631997,3.376480692652016,3.8884899832004876,3.9242344161503993,3.6931141156416674,3.8779835215521072,3.751542979236102,4.023502286203307
A320,narrowbody,7948,28188,false,69.99876452352586,80.31995361168727,-10.321189088161404,1.8022065060817842,0.5474135999778257,0.6236860068467135,21.26346088295674,0.009805715049221637,0.5488489988945691,0.21832525220835064,0.08151978205971018,0.05153746782672213,0.08240116506071586,0.007561620840897468,0.014378528905065989,0.15779237074993172,0.01146030181700886,1.657861181669773e-9,0.017508217511612096,0.05533047539038647,0.01133126176065406,1.1543009669392708,0.012407713590417526,2.733224278983655e-8,1.4316115135027043,3.771078657881963,3.901510250046437,1.7395909881227705,0.30727007779426657,0.12963980189626312,1.4274900268565422,0.07012126739037552,0.10619103803301722,3.817215636093861,4.049801816217973,3.1717866261751695,3.952885478449996,4.0322608898558325,3.693103064723392,3.831235429421105,3.8076216648677277,3.999030119039692
A321,narrowbody,146,2406,false,217.95460702170604,204.15580841502717,13.798798606678872,1.828838440653396,0.5352697703119826,0.6205412288234659,20.601562095015016,0.017097506166614387,0.49483256246129126,0.23421368145779387,0.08755773474296479,0.07641814698860662,0.08202807878284421,0.007852283485029659,0.009336440741082832,0.0719493651669166,0.000019351891661114832,1.657861181669773e-9,0.09196064264616971,6.474497951198384e-6,0.023627107750388194,0.4475597352975954,0.01242113258434047,4.750093655978803e-7,1.6699036332727064,3.7863609431541128,3.5816151401767993,2.5531079997755075,0.4433031778876389,0.3658076885655676,2.2375221790631032,0.17582394022495712,0.2156879973339639,3.7446623203689104,4.041309456302695,2.906945132229426,3.936787889428335,4.038900401494274,3.68560255390324,3.722595064607385,3.6754030201533068,3.9497550448326217
A332,widebody_heavy,1396,5064,false,254.3621250641759,259.2474468385844,-4.885321774408482,1.7183828422196614,0.5639188240968054,0.6368131072268445,19.213625295797527,0.05421658758878612,0.556129057462031,0.18625945318757123,0.07885348196821901,0.05057837183915484,0.0668425316205862,0.00712051443698253,0.04138054179026157,0.03556423705715356,0.00009520248805802982,1.657861181669773e-9,0.1007493608422557,0.09049836594279928,0.003733335474318694,0.024254289700487257,0.06518333649162097,3.859827344721903e-9,1.3346934746058077,3.4942185282707214,3.27521914585272,2.6444700583388605,0.31880647157089076,0.28256589069410315,0.4749261983119516,0.027783190519336688,0.15955831328787665,3.7848908172061075,3.977729259213609,3.4191320594026573,3.78914642299827,3.9587840885350905,3.6534990347217353,3.7953157117510252,3.6838910260309805,4.001628934995493
A333,widebody_heavy,336,1345,false,245.39873083330576,210.81914982411948,34.579581009186285,1.7232564992847896,0.5686023625589552,0.6277921130614621,20.13139421599252,0.010423755980030234,0.5982518632497106,0.18847476662180962,0.0681264525102008,0.05551111599474791,0.07100330000477177,0.008208743296563625,0.04005306519647088,0.02916440950748303,2.967756735214388e-6,1.657861181669773e-9,0.04051152085022245,0.1657145952714058,0.016048442452062755,0.0000733522196529044,0.010964379209792189,1.6642131739154553e-8,1.324994055374589,3.6692141003551937,3.202543828459013,3.159707287060363,0.07962514222494908,0.24293935562136812,0.2112400665924681,0.01754872655517582,0.017133936128180843,3.815611048246778,3.971419552252406,3.4102289854061034,3.89410412276075,4.002928106557755,3.6383865291164037,3.8284667829672494,3.740054647127787,4.039299659785771
A359,widebody_heavy,5545,22273,false,335.44863056627423,352.2649734284111,-16.816342862136878,1.7104924061365017,0.569716061505248,0.6239943497561462,20.00170475260646,0.028148411070412348,0.5848468548064838,0.18472559531063942,0.07945269158225914,0.07079029591759117,0.04223439715554093,0.009801753911267835,0.04632100468635716,0.01160391128150492,0.00008913674729561594,1.657861181669773e-9,0.012277620725979281,0.06813755545129245,0.0010864006462642424,0.000029002439844589798,0.011211500717030136,7.186647185935064e-8,1.3506042967546203,3.8440275974376874,3.2314804837551065,3.250913242513366,0.26988614329599975,0.12255923291426186,0.05769489923016263,0.023752345994435337,0.004520428895943252,3.769269008370162,4.016568411396257,3.402825383639099,3.8218097704826333,3.9640718623471756,3.406951778036071,3.7855149177520313,3.69579309071368,4.060616852594347
B38M,narrowbody,79,173,true,107.44855941832967,69.2238007232283,38.22475869510137,1.7898938006992582,0.5364007361327545,0.6377883704402779,18.977015193504624,0.005363618059060242,0.5364135201973251,0.13529287599310091,0.13237505014750023,0.06957308172330826,0.11439349577773976,0.006588360583527556,0.07391114776107593,0.047391615502455624,0.054481843168485034,1.657861181669773e-9,0.005949380307557948,0.2382380160633625,0.000011125474567743065,0.0000804310510357948,0.08037212446619525,1.8305795205976068e-9,1.6296007745032928,3.8120323857174645,3.8658071620554866,1.9544751787487464,0.9135501163221801,0.19518444104356097,1.5193437822634661,0.30434399440625237,0.47206913546918405,3.6926890140092823,4.015511705905577,3.3438245737099948,3.8239451028123685,3.879542610313319,3.38657284688346,3.7196627085721947,3.435923392259622,3.936529171617725
B738,narrowbody,1266,7076,false,90.97463711235126,92.11494054823066,-1.140303435879403,1.8001478754136988,0.5437950708948982,0.6272559276595123,20.718596339414095,0.017757767658404075,0.529759064246128,0.20165786098270996,0.07900574096989058,0.05576261711758554,0.10867886506109299,0.0073780843266764125,0.01463907792689801,0.12294290965600403,0.0000206259466791946,1.657861181669773e-9,0.01740930836121115,0.005877642658515631,0.010035113987438653,0.931508928638865,0.018691652378427976,3.6190334693409476e-9,1.5003139044516787,3.776240636010494,3.7234099306766457,2.251516115938506,0.3092580508714199,0.3070365363576812,1.3096183957090664,0.103637763803485,0.22179380624613063,3.7771868104244604,4.030132965265668,3.0576681080046235,3.9059890292078774,3.9980225753256873,3.6614300933494386,3.8050393498904334,3.7866749834110385,3.9725373789409137
