metric,target,spearman,pearson,p_spearman,ci_low,ci_high,n
mean_cls_entropy,ft_advantage,-0.13928571428571426,-0.12649267701251965,0.6205460876279013,-0.7107332331666844,0.41523793895635014,15
mean_cls_entropy,ft_rmse,-0.7892857142857141,-0.8022758662205857,0.0004673267561781762,-0.9230804387568554,-0.46280895025460383,15
top1_mass,ft_advantage,0.06785714285714285,0.1102400788316174,0.8101088187105132,-0.47302060827654985,0.641962553292591,15
top1_mass,ft_rmse,0.8107142857142855,0.6249698924600151,0.00024600797797220606,0.5000000000000001,0.9137287979835108,15
aircraft_cat_mass,ft_advantage,-0.2285714285714285,-0.18131767311237637,0.41256617049636035,-0.6582576510333864,0.31286744797392857,15
aircraft_cat_mass,ft_rmse,0.2964285714285714,0.11024101692732065,0.28335542843426303,-0.23083182640144662,0.704944809734908,15
physics_mass,ft_advantage,0.0964285714285714,0.1038339392379424,0.7324528633867309,-0.4938291139240507,0.6898300743320159,15
physics_mass,ft_rmse,0.7,0.543365114493732,0.0036660678988013795,0.2971014492753624,0.8768171632990017,15
trajectory_mass,ft_advantage,-0.20357142857142854,-0.19202997298258512,0.4667950724891123,-0.6238867744694184,0.33572776117846764,15
trajectory_mass,ft_rmse,-0.3178571428571428,-0.22770432258723977,0.24829056581701822,-0.8802383635026547,0.32243517138599087,15
js_shift_from_common,ft_advantage,0.09285714285714285,0.1052257729005274,0.7420450099073671,-0.4912458155562848,0.6061247537930979,15
js_shift_from_common,ft_rmse,0.2964285714285714,0.32662464734829033,0.28335542843426303,-0.33702663880908845,0.9051224051823491,15
