body_class,teacher_rmse,teacher_n,large_rmse,large_n,xlarge_rmse,xlarge_n,ft_rmse,ft_n
narrowbody,74.38717751811225,27547,74.48992203411592,27547,73.08137745628899,27547,80.96566721566508,27547
widebody_heavy,400.71683841119784,9614,404.7744857624115,9614,411.07957103820206,9614,418.1998803751701,9614
