model,rmse_flight,mae_flight,bias_flight,r2_flight,rmse_loto_macro,mae_loto_macro,rmse_body_macro,mae_body_macro,degradation_ratio_loto,degradation_ratio_body,error_inflation_loto,error_inflation_body,student_gap_flight,student_gap_loto,student_gap_body
R3 Teacher,213.6217985429934,74.13906475990117,4.868035288403997,0.923641659337174,256.79298312659733,135.11773656864997,237.55200796465505,104.01320392541707,1.202091663294911,1.1120213835145925,43.171184583603946,23.930209421661658,0.0,0.0,0.0
Large MLP,215.8504363943995,76.68895449323566,5.253185015452828,0.9220401113999332,270.6106259922319,155.4123006894271,239.6322038982637,111.2943464596724,1.2536950608604525,1.1101770647357432,54.76018959783241,23.781767503864188,2.22863785140612,13.817642865634582,2.0801959336086497
XLarge MLP,218.58514989014984,77.36223186052615,6.414266172925609,0.9200521745946382,276.0139349216199,157.94377134670802,242.08047424724552,112.97756828573301,1.2627295818601172,1.1074882002226742,57.428785031470085,23.495324357095683,4.963351347156447,19.220951795022586,4.528466282590472
FT-Transformer,224.12168280060487,74.1653230489808,-12.012275426029793,0.9159508942326701,261.145761757592,139.60259452051102,249.58277379541758,105.83447917854586,1.1651963277017088,1.1136038721316615,37.024078956987154,25.461090994812707,10.499884257611484,4.352778630994692,12.030765830762533
