name,run_name,seed,hidden_dims,hidden_dims_str,target_params,n_params,checkpoint_mb,alpha,beta,val_rmse,val_mae,val_bias,val_r2,teacher_val_rmse,student_vs_teacher_rmse,teacher_student_rmse_gap,train_rmse,best_epoch,epochs_ran,train_seconds,device,checkpoint
Tiny,Tiny_seed42,42,320x160,320x160,~250K,239041,0.9163532257080078,0.1,0.9,270.5507225428195,89.6462631225586,-16.422740936279297,0.9038471187687095,244.14115486523167,158.221997739888,26.40956767758786,302.6514319522904,80,80,270.55329632759094,cuda,C:\Users\mukun\major project\ZeroPing\results\distillation\capacity_scaling\runs\Tiny_seed42\best_model.pt
Small,Small_seed42,42,576x288,576x288,~500K,504001,1.9270954132080078,0.1,0.9,241.72593938469169,83.8330078125,0.27766063809394836,0.9232441616564419,244.14115486523167,99.39170932472584,-2.4152154805399846,264.46543660052964,80,80,269.2507085800171,cuda,C:\Users\mukun\major project\ZeroPing\results\distillation\capacity_scaling\runs\Small_seed42\best_model.pt
Medium,Medium_seed42,42,1024x512,1024x512,~1M,1125377,4.297456741333008,0.1,0.9,235.04487956348464,82.46287536621094,-1.4555186033248901,0.9274284338939505,244.14115486523167,74.6425066724799,-9.096275301747028,249.30352840560508,79,80,252.10136699676514,cuda,C:\Users\mukun\major project\ZeroPing\results\distillation\capacity_scaling\runs\Medium_seed42\best_model.pt
Large,Large_seed42,42,1792x1024,1792x1024,~3M,2887425,11.019136428833008,0.1,0.9,229.69766955732914,81.70025634765625,-4.2176737785339355,0.9306928430169216,244.14115486523167,58.19310774588885,-14.443485307902534,239.644883509114,79,80,268.9962475299835,cuda,C:\Users\mukun\major project\ZeroPing\results\distillation\capacity_scaling\runs\Large_seed42\best_model.pt
XLarge,XLarge_seed42,42,2560x2048,2560x2048,~5-10M,6748673,25.748628616333008,0.1,0.9,228.13989462613395,81.28582000732422,-0.17457929253578186,0.9316297166987774,244.14115486523167,51.29922596251255,-16.001260239097718,234.89269727856603,79,80,319.66346645355225,cuda,C:\Users\mukun\major project\ZeroPing\results\distillation\capacity_scaling\runs\XLarge_seed42\best_model.pt
