metric,baseline,r6,delta
Rank RMSE,235.2876464162842,239.5995671539429,4.31192073765871
Final RMSE,223.66261075954688,222.7182099025687,-0.9444008569781772
Combined RMSE,228.3125525456305,229.5162924849529,1.2037399393224177
Bias,24.059580133639002,11.955897037172896,-12.103683096466106
Heavy RMSE,427.51264374382095,430.0864571828591,2.5738134390381333
Narrow RMSE,80.6586270080328,80.49587104975608,-0.16275595827671907
A359 RMSE,333.1084113547912,348.033000180322,14.924588825530805
B77W RMSE,839.6841887106854,849.2571878115613,9.572999100875904
B744 RMSE,979.8066875888937,875.3574967018792,-104.44919088701454
