aircraft_type,count,rmse,mae,bias,overpred_pct,underpred_pct
A359,9122,345.7472493601225,141.11006461090693,-29.752203174916662,60.00877000657751,39.99122999342249
B77W,1031,828.3285735383292,376.52814403372554,-11.805539079930952,72.16294859359846,27.837051406401553
B744,561,863.3091320016102,469.92632026955215,271.9653517323874,81.28342245989305,18.71657754010695
