epoch,train_loss,mean_beta,train_rmse,val_rmse,val_mae,val_bias,val_r2,val_teacher_rmse,lr
1.0,1086199.9960106383,0.7589322734386363,1031.8618750295686,1003.9960839450059,503.9578552246094,-496.81439208984375,-0.32412487393801426,244.14115486523167,0.001
2.0,1030155.7327127659,0.7589414170447816,1000.2014643590543,972.0497954478424,466.6020812988281,-432.2851257324219,-0.2412004736697584,244.14115486523167,0.001
3.0,955990.6489361703,0.7591632794826588,964.5018267224694,935.9367326509768,415.7061767578125,-395.0545654296875,-0.15068881300005632,244.14115486523167,0.001
4.0,886753.5957446808,0.7591759093264316,926.4631534403488,897.5034916953985,376.33941650390625,-349.82177734375,-0.058125546934419736,244.14115486523167,0.001
5.0,815354.8444148937,0.7590721338353259,886.9666269495215,857.6037813964356,341.39910888671875,-305.7271423339844,0.03386396498030475,244.14115486523167,0.001
6.0,744373.5917553192,0.7590179417995696,846.3245502319988,816.6052067702944,311.0912170410156,-276.31494140625,0.12403007498148644,244.14115486523167,0.001
7.0,673789.1808510638,0.7591033197463827,804.7235990350522,774.6173984907795,283.6810302734375,-245.06199645996094,0.21179460905325953,244.14115486523167,0.001
8.0,609231.0551861703,0.7589163551939294,762.8407977684304,732.3258884750193,257.4531555175781,-205.952392578125,0.2955118691487142,244.14115486523167,0.001
9.0,542349.6196808511,0.7590482792955764,721.5149831359737,690.6423609579862,234.71969604492188,-184.59710693359375,0.3734274980693649,244.14115486523167,0.001
10.0,483358.61901595746,0.7589296597115537,680.8014026310926,649.3918872314163,212.53451538085938,-161.48153686523438,0.4460397230700913,244.14115486523167,0.001
11.0,430333.87367021275,0.7590699652408032,641.6040030472265,609.606786470423,192.47792053222656,-138.3058624267578,0.5118374122050506,244.14115486523167,0.001
12.0,380473.1126994681,0.759148916031452,604.7652157761912,572.1402297246623,178.03875732421875,-114.3575439453125,0.5699985913893271,244.14115486523167,0.001
13.0,339563.00698138296,0.7590596967555107,570.8599067632985,537.6129838301983,165.4541778564453,-103.98966979980469,0.6203316422463427,244.14115486523167,0.001
14.0,298699.1396276596,0.7592054072846758,537.6938979319458,504.3745969581399,151.7730255126953,-89.45392608642578,0.6658270317317723,244.14115486523167,0.001
15.0,265045.84840425535,0.7590339475489677,508.0041315938894,474.8977026833394,144.8351287841797,-82.28005981445312,0.7037454401384655,244.14115486523167,0.001
16.0,236244.7064494681,0.7589826216088965,479.6559433921686,447.881253603757,135.3132781982422,-67.64958190917969,0.7364938980939926,244.14115486523167,0.001
17.0,210925.65558510637,0.7590231717901027,455.33223390596544,424.0241049170641,128.23019409179688,-60.38544464111328,0.7638184337367369,244.14115486523167,0.001
18.0,190976.95146276595,0.7589872720393729,433.5379809077241,403.25930860849337,121.81867980957031,-58.08523941040039,0.7863840344158891,244.14115486523167,0.001
19.0,172635.1444481383,0.7590260429585234,412.4247425538541,382.6195265952041,117.15372467041016,-41.8980827331543,0.8076911962848253,244.14115486523167,0.001
20.0,155840.20129654257,0.759090523770515,394.30874188669713,366.5867717352342,111.90020751953125,-41.50365447998047,0.8234700146968152,244.14115486523167,0.001
21.0,141455.14203789894,0.7591183933805912,378.9553096728392,352.68670685730206,108.54397583007812,-39.13429260253906,0.83660337263096,244.14115486523167,0.001
22.0,131833.29837101063,0.7589875206034234,365.166045024403,341.8156555002931,106.027099609375,-33.416656494140625,0.8465210546769507,244.14115486523167,0.001
23.0,121741.55402260639,0.7589050835751473,352.40327129811044,329.2885971577766,103.4572982788086,-33.314449310302734,0.8575644850448476,244.14115486523167,0.001
24.0,113951.6213430851,0.7589656380896873,342.21661638473915,319.78859116520925,100.315673828125,-33.818973541259766,0.8656644871486547,244.14115486523167,0.001
25.0,106536.75207779255,0.7589776503278854,332.6422235864369,312.61033051606597,99.01880645751953,-24.035104751586914,0.8716276305157611,244.14115486523167,0.001
26.0,100257.78607047872,0.7592445003225449,323.5357834895026,304.38376339912105,96.7437973022461,-19.142541885375977,0.8782951540660398,244.14115486523167,0.001
27.0,97476.3085106383,0.7590774285032394,315.5719742866901,298.43239462434553,93.46224212646484,-23.755714416503906,0.8830078199771455,244.14115486523167,0.001
28.0,90566.53823138298,0.7590876703566694,309.0220360246097,292.47501622268436,92.30742645263672,-18.439008712768555,0.8876320510695169,244.14115486523167,0.001
29.0,86672.27331283245,0.7589820927761971,303.470626678716,288.9011075449604,93.7300033569336,-18.586647033691406,0.89036144077525,244.14115486523167,0.001
30.0,82731.052734375,0.7589205617600299,297.0848413573226,284.5374996149678,92.19078826904297,-10.208645820617676,0.8936484245273764,244.14115486523167,0.001
31.0,80015.41726230053,0.7590507433769551,291.94185281590734,278.44972924056924,90.49710845947266,-14.503478050231934,0.898150592687166,244.14115486523167,0.001
32.0,77650.75045711437,0.7591272440362484,287.5327965314777,276.79865632629276,88.81340026855469,-20.608524322509766,0.8993548477022294,244.14115486523167,0.001
33.0,74679.98316988032,0.7589507064920791,284.21879559394824,276.4335931638398,89.3963851928711,-18.58323860168457,0.8996201496303744,244.14115486523167,0.001
34.0,72472.71555019947,0.7592441503037798,279.3797448894152,270.63946083831456,87.54725646972656,-13.98938274383545,0.903784033798979,244.14115486523167,0.001
35.0,70392.6407081117,0.7588421664339431,276.95260874336134,269.977633683861,88.8251724243164,-6.43893575668335,0.9042540353189665,244.14115486523167,0.001
