epoch,train_loss,train_rmse,train_mae,train_bias,train_r2,val_rmse,val_mae,val_bias,val_r2,val_teacher_rmse,train_teacher_rmse,lr
1.0,1007240.4827127659,1005.1930120787051,480.9859313964844,-449.1073913574219,-0.24894561828460415,977.0899875759987,473.0835876464844,-440.0742492675781,-0.25410538377771785,244.14115486523167,251.78373587017313,0.001
2.0,895224.7672872341,947.2540969952463,407.74786376953125,-381.6206359863281,-0.10911758679242678,918.4821620895217,399.7781066894531,-375.01373291015625,-0.10816992301373274,244.14115486523167,251.78373587017313,0.001
3.0,783190.7446808511,885.7917256444912,348.3580627441406,-312.31939697265625,0.030142685816799908,856.3906638703166,341.2852478027344,-305.2380676269531,0.036595313964490006,244.14115486523167,251.78373587017313,0.001
4.0,672452.6170212766,822.7342181826701,302.9531555175781,-264.3985595703125,0.16331163872967636,792.6767823543017,295.9654235839844,-258.3564453125,0.17461384101954314,244.14115486523167,251.78373587017313,0.001
5.0,567311.1615691489,759.0859453417626,260.9195861816406,-209.46328735351562,0.2877597579307858,728.266166332824,254.93701171875,-205.15579223632812,0.30330102063904096,244.14115486523167,251.78373587017313,0.001
6.0,472486.43151595746,696.8820158596553,226.38858032226562,-171.63815307617188,0.3997072183436584,665.1927352640747,221.82388305664062,-168.43997192382812,0.4187541015837978,244.14115486523167,251.78373587017313,0.001
7.0,386150.11236702127,637.3713680086504,193.43594360351562,-140.4083709716797,0.49785434689874397,604.3084064705448,190.00892639160156,-138.7203369140625,0.5202862380056099,244.14115486523167,251.78373587017313,0.001
8.0,313241.94714095746,581.8331421768041,170.33621215820312,-112.15557861328125,0.581551978670325,547.0155022437385,166.79400634765625,-111.83812713623047,0.6069351805972716,244.14115486523167,251.78373587017313,0.001
9.0,251134.01097074468,530.0640129840058,152.97471618652344,-91.17792510986328,0.652702827561696,494.0638596673013,149.22891235351562,-90.76676940917969,0.6793501214091024,244.14115486523167,251.78373587017313,0.001
10.0,200981.14278590426,486.9735207100377,138.94879150390625,-68.47727966308594,0.7068733524224953,450.28591060877767,135.44065856933594,-67.85748291015625,0.7336567943404564,244.14115486523167,251.78373587017313,0.001
11.0,159301.55535239363,443.1935884395676,126.01396179199219,-49.798500061035156,0.7572095807805761,405.84630932205755,122.81146240234375,-49.73612976074219,0.7836344524454261,244.14115486523167,251.78373587017313,0.001
12.0,125796.0311668883,410.18826857268175,116.61085510253906,-41.12181854248047,0.7920250264247815,373.2521053972932,114.33004760742188,-40.70835876464844,0.8169922681729527,244.14115486523167,251.78373587017313,0.001
