epoch,train_loss,train_rmse,train_mae,train_bias,train_r2,val_rmse,val_mae,val_bias,val_r2,val_teacher_rmse,train_teacher_rmse,lr
1.0,1039402.784574468,1031.8735457490284,512.6681518554688,-505.7963562011719,-0.31612628946020216,1004.0079435052564,503.9695739746094,-496.8264465332031,-0.32415615619443083,244.14115486523167,251.78373587017313,0.001
2.0,975325.6875,1000.2708241070106,475.0008544921875,-440.5844421386719,-0.23674399431308402,972.1202533548045,467.2179870605469,-431.6164245605469,-0.24138041415706124,244.14115486523167,251.78373587017313,0.001
3.0,907807.2978723404,964.5123780153016,423.7799377441406,-400.3164978027344,-0.14990038167010677,935.9496344473802,416.16241455078125,-393.1564636230469,-0.15072053748440672,244.14115486523167,251.78373587017313,0.001
4.0,835176.2433510638,926.425991143712,383.4724426269531,-359.42169189453125,-0.06087952774810024,897.4539068034012,375.8153381347656,-352.2011413574219,-0.05800863242186072,244.14115486523167,251.78373587017313,0.001
5.0,763872.8789893617,886.9030049938792,348.3222351074219,-312.4156799316406,0.027707669897091614,857.5174775085497,341.2400817871094,-305.1936340332031,0.03405840698807361,244.14115486523167,251.78373587017313,0.001
6.0,693485.460106383,846.3135531884275,319.23919677734375,-283.7729797363281,0.11466588609366002,816.5470563368361,312.4050598144531,-277.5934753417969,0.12415482612626505,244.14115486523167,251.78373587017313,0.001
7.0,624115.7340425532,804.7224409964508,289.966552734375,-247.12924194335938,0.199545165232755,774.49366855842,283.43853759765625,-241.8388214111328,0.2120463896382978,244.14115486523167,251.78373587017313,0.001
8.0,558074.4527925532,762.8566173848523,261.86138916015625,-217.05123901367188,0.28066624065467527,732.0434521509802,255.80690002441406,-212.3404083251953,0.29605516461906367,244.14115486523167,251.78373587017313,0.001
9.0,493576.076462766,721.520701390159,238.72848510742188,-193.1278533935547,0.35650941169385886,690.2457006807497,233.86203002929688,-189.8365478515625,0.37414701678050055,244.14115486523167,251.78373587017313,0.001
10.0,432884.5113031915,680.8145098640483,215.9174346923828,-164.34661865234375,0.42706914289020714,648.7641448758579,212.00172424316406,-161.3994903564453,0.4471101899495633,244.14115486523167,251.78373587017313,0.001
11.0,379713.0023271277,641.5028027525448,195.74293518066406,-137.662109375,0.4913234425879457,608.3622269224144,192.1280517578125,-136.39724731445312,0.5138286211138282,244.14115486523167,251.78373587017313,0.001
12.0,328688.72174202127,603.8265751700425,178.73753356933594,-120.68749237060547,0.5493192036753064,569.8113747866887,175.3297576904297,-120.05328369140625,0.5734920455005941,244.14115486523167,251.78373587017313,0.001
13.0,285791.548537234,568.2913682220207,165.13356018066406,-103.28716278076172,0.6008034987231714,533.3111863973855,161.67584228515625,-102.62061309814453,0.6263832891851407,244.14115486523167,251.78373587017313,0.001
14.0,245895.29388297873,533.5287512617359,153.31716918945312,-87.55493927001953,0.6481478062285374,497.8384148785007,149.9136505126953,-86.83467102050781,0.6744319962733405,244.14115486523167,251.78373587017313,0.001
15.0,209505.24484707447,501.12659683396333,144.37005615234375,-67.59465026855469,0.6895872771169695,464.48620384650076,140.60562133789062,-67.33092498779297,0.716593018544318,244.14115486523167,251.78373587017313,0.001
16.0,178632.1133643617,472.21320611539636,133.8147430419922,-72.03617095947266,0.7243735673081557,435.4957536549338,130.5090789794922,-71.56976318359375,0.7508661406890859,244.14115486523167,251.78373587017313,0.001
17.0,154220.00565159574,444.2647807743615,125.46431732177734,-54.64374542236328,0.75603452075346,407.1151303316578,122.57662963867188,-53.99555969238281,0.7822794651784075,244.14115486523167,251.78373587017313,0.001
18.0,129046.2071143617,417.98222029839513,119.14024353027344,-44.967952728271484,0.7840465113605312,380.2649358410392,116.49800109863281,-44.633628845214844,0.8100508002120685,244.14115486523167,251.78373587017313,0.001
19.0,108579.93467420213,396.62046759181715,113.61082458496094,-33.51356506347656,0.8055558634692419,359.2419209337152,111.23175811767578,-34.12599182128906,0.8304729806792392,244.14115486523167,251.78373587017313,0.001
20.0,92970.0196974734,377.12695721184963,107.57485961914062,-30.483165740966797,0.8241996395125085,340.4818967588185,105.95218658447266,-31.229164123535156,0.8477164622375486,244.14115486523167,251.78373587017313,0.001
21.0,79451.03449135639,358.74253774157046,104.60624694824219,-26.741531372070312,0.8409219132179505,322.5887396783976,103.15630340576172,-26.914966583251953,0.8633016370055777,244.14115486523167,251.78373587017313,0.001
22.0,67795.6504737367,343.37369866145065,100.19613647460938,-18.160770416259766,0.8542600352533152,307.51230241166854,99.1311264038086,-18.401344299316406,0.8757804658765542,244.14115486523167,251.78373587017313,0.001
23.0,58483.69971742021,330.0532729802601,95.69783782958984,-20.731006622314453,0.8653480352564316,294.8942214113795,95.15902709960938,-21.39877700805664,0.8857654616105785,244.14115486523167,251.78373587017313,0.001
24.0,50739.03868849734,319.5670439368801,92.49002838134766,-21.47762107849121,0.8737682573289797,284.712638397035,91.50472259521484,-22.636735916137695,0.8935174609963231,244.14115486523167,251.78373587017313,0.001
25.0,44545.541846742024,309.9200899097664,91.30542755126953,-11.005990982055664,0.8812744839818405,275.6680093244916,90.48893737792969,-12.511178016662598,0.9001753844215142,244.14115486523167,251.78373587017313,0.001
26.0,39803.61340591755,302.99998394405173,90.11723327636719,-18.048601150512695,0.8865172587071252,270.17734376801775,89.53337860107422,-19.354476928710938,0.9041123309360081,244.14115486523167,251.78373587017313,0.001
27.0,36058.45601313165,296.6548774087084,88.48372650146484,-13.663736343383789,0.8912203659760565,263.9720141054558,88.34312438964844,-14.57559871673584,0.9084663715474529,244.14115486523167,251.78373587017313,0.001
28.0,32586.627846575797,290.0154456222786,86.1531982421875,-11.818022727966309,0.8960350705042424,259.61694383959235,86.4508285522461,-13.101511001586914,0.9114617420709054,244.14115486523167,251.78373587017313,0.001
29.0,29822.898873836435,286.49504033485226,87.59767150878906,-0.5238310098648071,0.8985437459706259,256.26630330290465,88.04436492919922,-2.575528383255005,0.9137323605572423,244.14115486523167,251.78373587017313,0.001
30.0,27743.306910738032,282.2336700858386,84.84810638427734,-11.26042652130127,0.9015394508676816,253.20113871523083,85.3849868774414,-12.837882995605469,0.9157836887124332,244.14115486523167,251.78373587017313,0.001
31.0,26197.525141289894,279.02908312463916,84.25939178466797,-9.129697799682617,0.9037626731715038,252.0048627111362,84.82487487792969,-10.48015022277832,0.9165775868782521,244.14115486523167,251.78373587017313,0.001
32.0,24632.535239361703,276.35147024966693,84.46353912353516,-2.2088191509246826,0.9056008321233351,249.90440505752528,85.11593627929688,-4.453195095062256,0.9179624410753817,244.14115486523167,251.78373587017313,0.001
33.0,23031.93490275931,273.6190427010319,84.09510040283203,-4.330885887145996,0.9074583485690177,247.5145438550975,84.76153564453125,-6.486443996429443,0.9195240055150017,244.14115486523167,251.78373587017313,0.001
34.0,21794.38570063165,270.7759276919205,82.63037872314453,-3.117283821105957,0.9093715167061109,245.17823344236595,83.70368194580078,-4.4751739501953125,0.9210360746432316,244.14115486523167,251.78373587017313,0.001
35.0,21117.016508061835,269.1630383857702,82.6567611694336,-10.049240112304688,0.9104479666516523,244.13505562368817,83.58009338378906,-12.25997543334961,0.9217065923653529,244.14115486523167,251.78373587017313,0.001
36.0,20238.71122839096,266.9090170614584,82.03417205810547,-2.9617974758148193,0.9119415373893985,242.72310458809363,83.06169891357422,-5.340606689453125,0.9226095907971624,244.14115486523167,251.78373587017313,0.001
37.0,20085.34536028923,265.15830879676724,82.5373764038086,2.2913522720336914,0.9130929340853514,242.29921062171186,83.68455505371094,0.08316478878259659,0.9228796654717809,244.14115486523167,251.78373587017313,0.001
38.0,18557.015209441488,263.56783420476165,82.25491333007812,-2.848524570465088,0.9141323805523416,242.456001439731,83.56155395507812,-4.856912612915039,0.9227798246793192,244.14115486523167,251.78373587017313,0.001
39.0,18613.480260970744,262.0906765825757,81.33032989501953,-5.163029670715332,0.9150921681799324,240.4683809755212,82.71197509765625,-7.240835666656494,0.9240407155457914,244.14115486523167,251.78373587017313,0.001
40.0,17602.176705867685,262.06460332487706,82.14424133300781,3.8739688396453857,0.9151090609110355,240.8960863712353,84.09220886230469,1.888927936553955,0.9237702676141406,244.14115486523167,251.78373587017313,0.001
41.0,16895.93290807846,259.7588198190434,80.9080810546875,-6.800858020782471,0.9165963202501196,240.4030443066523,82.81439971923828,-9.340801239013672,0.9240819871039699,244.14115486523167,251.78373587017313,0.001
42.0,16654.160997755986,258.95407535096797,81.60529327392578,-0.7767945528030396,0.9171122964287108,239.46324228311065,83.26837921142578,-3.1554205417633057,0.9246743959314209,244.14115486523167,251.78373587017313,0.001
43.0,16760.20296916556,257.4811362888283,80.45740509033203,-3.399043321609497,0.9180525505216155,238.19767124607796,82.34447479248047,-5.678632736206055,0.9254684885122152,244.14115486523167,251.78373587017313,0.001
44.0,15823.607640043218,257.19177641776986,80.1611328125,-6.205337047576904,0.9182366337495722,238.65372822753216,82.10237884521484,-8.820150375366211,0.9251828169063039,244.14115486523167,251.78373587017313,0.001
45.0,15445.118226396276,256.4157702029535,80.54998779296875,-3.1937789916992188,0.9187292868302392,238.29112961577172,82.46961212158203,-5.71195650100708,0.9254099912144418,244.14115486523167,251.78373587017313,0.001
46.0,15749.080576795213,255.25521483688487,80.14318084716797,-6.092441558837891,0.9194632956215045,237.3746254816728,82.12918853759766,-8.554091453552246,0.9259826569789725,244.14115486523167,251.78373587017313,0.001
