comparison,delta_mae,ci_lower,ci_upper,bootstrap_p,cohens_d,effect_size,interpretation
Base+Energy vs Base,-0.7532642014241304,-4.209686113493003,1.5651556622729572,0.2966,-0.07767977533293363,Negligible,No significant evidence
Flow+Energy vs Direct+Energy,-10.69801010830141,-16.77590997940944,-7.448135152393837,0.0,-0.38753038857890126,Small,Flow+Energy significantly better than Direct+Energy
