approach,model,mae,rmse,r2,experiment
A: Energy+Weather,XGB,83.75996267132038,212.02664464286195,0.9433045738500325,mass_ablation
B: Energy+Weather+Mass,XGB,84.64564977257923,217.9154284386621,0.9401115460580299,mass_ablation
C: Mass only,XGB,86.01909679850382,224.19662956225014,0.936609335908237,mass_ablation
D: Mass+OpenAP,XGB,85.2847071818454,220.1046896177453,0.9389021772121516,mass_ablation
OpenAP Hybrid (ref),XGB,86.30553201747955,224.1164797847097,0.9366546518387864,mass_ablation
