phase_dom,n,n_frac,mae,rmse,bias_mean_pred_minus_actual,median_bias,sse,sse_share,mean_actual_kg,mean_pred_kg
cruise,45120,0.7357161492303679,100.04965171825468,256.5448676170012,32.10175373629097,29.515860642120405,2969584941.820185,0.8700470235963529,498.6513443746277,530.7530981109187
climb,7044,0.11485781372293243,79.96524691982677,207.57666869219884,48.12563156707716,40.27577592538677,303512388.9264116,0.08892490222831723,274.45254946178306,322.57818102886023
descent,9164,0.1494260370466997,44.44525351482627,123.61595805027106,14.170564401513701,11.719872438335479,140034214.19606593,0.04102807417532991,123.04729714971629,137.21786155123
