variant,hypothesis,expected_gain,rank_rmse,final_rmse,combined_rmse,rank_mae,final_mae,combined_mae,combined_bias,pct_overpredict,narrow_rmse,heavy_rmse,a20n_rmse,a320_rmse,a359_rmse,b77w_rmse,b744_rmse,cruise_rmse,climb_rmse,descent_rmse,ultralong_rmse,medium_rmse,delta_combined_vs_baseline,r1_feature_count,r1_model_key,gate,gate_reason
R1_heavy_lgbm_openap_descriptors,"OpenAP continuous descriptors (MTOW, OEW, wing area, max thrust, aspect ratio, etc.) + interactions (cruise alt x dur, mean alt x dur, wing loading, thrust loading, OEW ratio) inside heavy specialist",-3 to -12 kg,241.93963894183634,215.25242339318015,226.14117497557768,84.35560126535242,78.30455410000285,80.68815045762929,12.132334874224533,67.14062092355857,80.6586270080328,423.02408739331315,83.34813169277132,68.81951985388555,333.172624119999,840.7032341458843,945.761168936017,243.83707522559968,209.73483367148572,125.25356298078175,437.5174429847503,94.43454536591226,-2.1093649027430104,57,lgbm,KEEP,accepted
R1_heavy_cat_openap_descriptors,"OpenAP continuous descriptors (MTOW, OEW, wing area, max thrust, aspect ratio, etc.) + interactions (cruise alt x dur, mean alt x dur, wing loading, thrust loading, OEW ratio) inside heavy specialist",-3 to -12 kg,235.20920054445617,220.13342101674323,226.19197053079748,83.61173100762328,79.26383672302036,80.97653614461308,13.714090570735795,67.94938690320897,80.6586270080328,423.1291407290305,83.34813169277132,68.81951985388555,342.0384217942025,844.4634890663295,821.0201269454788,245.31489563376553,198.55540711964127,125.66445262464275,433.1438335422634,102.4606017817948,-2.0585693475232176,57,cat,KEEP,accepted_vs_official_floor
R1_heavy_xgb_openap_descriptors,"OpenAP continuous descriptors (MTOW, OEW, wing area, max thrust, aspect ratio, etc.) + interactions (cruise alt x dur, mean alt x dur, wing loading, thrust loading, OEW ratio) inside heavy specialist",-3 to -12 kg,244.04709126652082,230.55653884625542,235.96275437352557,85.62004955728155,82.2446461036607,83.5742671027569,17.077591684831464,67.55152621967127,80.6586270080328,443.2924710368411,83.34813169277132,68.81951985388555,334.3165497728112,861.3556662233705,1048.4505030468267,254.40590033327527,217.64735237577105,132.42210490221987,451.73522928828805,106.3868474414868,7.712214495204876,57,xgb,REJECT,combined_rmse not improved vs comparison baseline
R1b_heavy_lgbm_openap_on_raw_ensemble,R1 heavy specialist on uncalibrated ensemble,-3 to -12 kg,241.92868759537626,215.24379000435846,226.13157908604563,84.13817797050672,78.098255710444,80.47746980447275,11.722111166587284,66.5992695016958,80.62461666735177,423.02408739331315,83.28668751321423,68.82297170724088,333.172624119999,840.7032341458843,945.761168936017,243.79591003921672,209.88208666126778,125.34252926259734,437.51779745313365,94.40328353307846,-2.118960792275061,57,,KEEP,accepted
R1b_heavy_cat_openap_on_raw_ensemble,R1 heavy specialist on uncalibrated ensemble,-3 to -12 kg,235.19793581381032,220.12497906266387,226.18237679628984,83.39430771277759,79.05753833346152,80.76585549145652,13.303866863098547,67.4080354813462,80.62461666735177,423.1291407290305,83.28668751321423,68.82297170724088,342.0384217942025,844.4634890663295,821.0201269454788,245.27397847525606,198.7109446973886,125.75312821562528,433.14419158983884,102.43178950329722,-2.06816308203085,57,,KEEP,accepted_vs_official_floor
