target,model,mae_kg,rmse_kg,r2,evaluation_scale,residual_mae_kg,residual_rmse_kg,residual_r2
actual_fuel_kg,XGBoost,84.78244485353765,217.64140145774653,0.9410987939394391,actual_fuel_kg,,,
actual_fuel_kg,Random Forest,86.84819110655488,237.82968949631288,0.9296647075392789,actual_fuel_kg,,,
actual_fuel_kg,LightGBM,89.01949778999759,221.98481740479437,0.9387243814562656,actual_fuel_kg,,,
residual_kg,XGBoost,99.72518367511188,265.6896183842663,0.9122210604343041,actual_fuel_kg,99.72518367511188,265.6896183842663,0.9648806184824573
residual_kg,Random Forest,104.0892157188005,295.685623419305,0.8912819690225066,actual_fuel_kg,104.08921571880052,295.685623419305,0.9565031199211851
residual_kg,LightGBM,104.9338135335837,269.41623909665225,0.9097413780415435,actual_fuel_kg,104.9338135335837,269.4162390966522,0.9638885250210352
actual_fuel_kg,Linear Regression,162.98749815387475,335.0526413693139,0.8604058392830867,actual_fuel_kg,,,
residual_kg,Linear Regression,363.33629408686124,715.1169075230231,0.3640905889795053,actual_fuel_kg,363.33629408686124,715.1169075230231,0.7455796877164339
openap_only,OpenAP,655.0263991498421,1549.0561537623696,-1.9838396633225286,actual_fuel_kg,,,
