subset,distance_metric,outcome,n,pearson_r,pearson_p,spearman_r,spearman_p
exclude_B77W,nn_distance,loto_direct_mae,11,0.14703853175810283,0.6661595599753967,0.1272727272727273,0.709214625773305
exclude_B77W,nn_distance,mae_inflation_direct,11,-0.5633638146715072,0.07111836472693102,-0.8000000000000002,0.0031104283103858456
exclude_B77W,k3_mean_distance,loto_direct_mae,11,0.30755387244773197,0.3575511700472109,0.3272727272727273,0.3258949410128415
exclude_B77W,k3_mean_distance,mae_inflation_direct,11,-0.7731249956842539,0.005261151309703009,-0.7000000000000001,0.016470978836514428
exclude_B77W,mahalanobis_distance,loto_direct_mae,11,-0.19220280571372156,0.5712705413970363,-0.10909090909090911,0.7495085962341481
exclude_B77W,mahalanobis_distance,mae_inflation_direct,11,0.1973160763583175,0.5608727892887247,-0.07272727272727274,0.831716405381337
