feature_group,n_features,total_mean_abs_shap,mean_abs_shap
trajectory,17,349.8602379625828,20.58001399779899
energy,11,261.27339858196916,23.75212714381538
physics,1,157.14508605353947,157.14508605353947
categorical,5,104.40310850241231,20.88062170048246
weather,6,5.798883360982669,0.9664805601637781
