model,target,mae,rmse,r2
LGBM FuelFlow E+W,fuel_flow,79.98547155426951,216.45797514775685,0.9216006375692125
Ensemble (6-base + ridge meta),mixed_direct_flow,87.34864174087605,220.8570993417157,0.9183816001972674
CatBoost FuelFlow E+W,fuel_flow,76.73464563313121,221.9362965551474,0.9175820103003823
XGB FuelFlow E+W,fuel_flow,84.83736578434838,239.23231806844615,0.904235389924153
LGBM Direct E+W,direct,122.13640951424983,255.50453230134357,0.8907648109908071
CatBoost Direct E+W,direct,121.47117839182236,256.78366091365405,0.8896683481748435
XGB Direct E+W,direct,125.1990343186667,285.7503290725267,0.8633722783650306
OpenAP Physics,physics,485.4040358048513,1315.6530375840325,-1.896330337881189
