comparison,mae_new,mae_baseline,delta_mae,bootstrap_mean,bootstrap_median,ci_lower,ci_upper,bootstrap_p,wilcoxon_stat,wilcoxon_p,cohens_d,effect_size,interpretation
OpenAP Hybrid (ref) vs A: Energy+Weather,86.30553201747955,83.75996267132038,2.5455693461591693,2.5472637151512556,2.553427996473232,1.5000284208505774,3.5795510732598697,1.0,145265378.5,1.0,0.03963388419914334,Negligible,A: Energy+Weather significantly better than OpenAP Hybrid (ref)
B: Energy+Weather+Mass vs A: Energy+Weather,84.64564977257923,83.75996267132038,0.8856871012588527,0.8728736382899657,0.8822654274491342,-0.743833127307919,2.477263972537122,0.8548,131687467.0,0.1796298276005459,0.011857597315177047,Negligible,No significant evidence
C: Mass only vs A: Energy+Weather,86.01909679850382,83.75996267132038,2.2591341271834438,2.2393711097382236,2.18996318984653,-0.02163768238814326,4.749045165372227,0.9734,136459909.5,0.9999313771919598,0.024940717014946674,Negligible,No significant evidence
D: Mass+OpenAP vs A: Energy+Weather,85.2847071818454,83.75996267132038,1.524744510525025,1.5091551234256346,1.4602523181378757,-0.7075592110246486,4.03090949877706,0.8952,134541628.5,0.9720565407682439,0.018082042394558143,Negligible,No significant evidence
