Model,Target,Rank_MAE,Rank_RMSE,Rank_R2,Final_MAE,Final_RMSE,Final_R2,Combined_MAE_approx,Combined_RMSE_approx
Ensemble (6-base + ridge meta),mixed_direct_flow,90.89361151887124,239.18031519148374,0.9043622553837399,87.34864174087605,220.8570993417157,0.9183816001972674,88.74505740577312,228.2505398783207
LGBM FuelFlow E+W,fuel_flow,86.34536621988102,249.83028795898275,0.8956557227676912,79.98547155426951,216.45797514775685,0.9216006375692125,82.49072747867342,230.1821189028497
CatBoost FuelFlow E+W,fuel_flow,81.52727093438892,244.90252511788387,0.8997313923879887,76.73464563313121,221.9362965551474,0.9175820103003823,78.62253113449736,231.25545772136894
XGB FuelFlow E+W,fuel_flow,88.86359760710022,246.3896156393341,0.8985099986746748,84.83736578434838,239.23231806844615,0.904235389924153,86.42335763756452,242.0769450346416
CatBoost Direct E+W,direct,117.76075013388203,253.20627934641618,0.8928166315615905,121.47117839182236,256.78366091365405,0.8896683481748435,120.00958620138206,255.38045987195466
LGBM Direct E+W,direct,120.43454138709575,263.2611448457943,0.8841350738317232,122.13640951424983,255.50453230134357,0.8907648109908071,121.46601866152696,258.58775164534535
XGB Direct E+W,direct,122.92936017427012,259.74612427564523,0.8872084382148875,125.1990343186667,285.7503290725267,0.8633722783650306,124.30497633568449,275.7997304985059
OpenAP Physics,physics,451.45084419898865,1191.9545237105135,-1.375187125180124,485.4040358048513,1315.6530375840325,-1.896330337881189,472.02937491888684,1268.3672853007429
