model,target,mae,rmse,r2
OpenAP_only,actual_fuel_kg,638.747802734375,1536.1708889313063,-1.959211826324463
Transformer_residual,residual_kg,412.3310241699219,1317.2755501412755,0.12888503074645996
Transformer_hybrid,actual_fuel_kg,412.3310241699219,1317.2755501412755,-1.1759567260742188
