target,model,mae_kg,rmse_kg,r2,evaluation_scale,residual_mae_kg,residual_rmse_kg,residual_r2,split_strategy
actual_fuel_kg,Random Forest,87.13081701507049,232.78313443898813,0.9316607566242376,actual_fuel_kg,,,,flight_level
actual_fuel_kg,XGBoost,89.45686033725492,230.56220202960472,0.9329585551625568,actual_fuel_kg,,,,flight_level
actual_fuel_kg,LightGBM,91.75753040184078,219.57652773768336,0.9391950453387671,actual_fuel_kg,,,,flight_level
residual_kg,XGBoost,107.08886988009432,307.5954316396704,0.8806762468533991,actual_fuel_kg,107.08886988009432,307.5954316396704,0.9549133636098464,flight_level
residual_kg,Random Forest,107.52095052777018,312.5263842465764,0.8768199098358574,actual_fuel_kg,107.52095052777021,312.5263842465764,0.9534562416175958,flight_level
residual_kg,LightGBM,108.7151946640429,293.32691803764067,0.8914896957731665,actual_fuel_kg,108.7151946640429,293.32691803764067,0.9589992394452306,flight_level
actual_fuel_kg,Linear Regression,166.91563986072015,336.49836306208414,0.8571984062193645,actual_fuel_kg,,,,flight_level
residual_kg,Linear Regression,377.9553860462196,750.763702969626,0.28915702111193287,actual_fuel_kg,377.9553860462196,750.763702969626,0.731407049523124,flight_level
openap_only,OpenAP,667.6155755169532,1582.3817554313428,-2.157836764832827,actual_fuel_kg,,,,flight_level
