regime,approach,mae,rmse,model
flight_80_20,direct,88.07362256880576,210.6588460832278,CatBoost
flight_80_20,residual,94.39014044096535,232.19228675715976,CatBoost
loto_macro,direct,283.2480020687031,469.38541306670646,CatBoost
loto_macro,residual,523.2716793788604,790.2835322600066,CatBoost
loto_macro,flow,265.8570031330714,445.4954821211558,CatBoost
