variant,hypothesis,expected_gain,rank_rmse,final_rmse,combined_rmse,rank_mae,final_mae,combined_mae,combined_bias,pct_overpredict,narrow_rmse,heavy_rmse,a20n_rmse,a320_rmse,a359_rmse,b77w_rmse,b744_rmse,cruise_rmse,climb_rmse,descent_rmse,ultralong_rmse,medium_rmse,delta_combined_vs_baseline,gate,gate_reason,feature_count
R3_session_ensemble_mass,"","",232.6393113531422,213.67822016203584,221.34125410352036,78.9933438982626,73.63238975578571,75.74414833545498,3.7410264043299097,62.48695538742499,74.80837489604231,416.24431927417925,75.49570998397421,69.90883404096235,333.3517750783745,837.6877524836887,866.0030641209531,241.90042511691723,187.81713411892042,112.44364725633852,430.6857551831187,86.49019190981633,-6.909285774800338,,,
R3_P1E_phase_affine,"","",232.5338424742589,213.7274279507162,221.32639201284033,79.20521796818646,73.84376482025085,75.95571996549982,3.8545244173010578,63.27941560135664,75.03375135071525,416.09639606990396,75.66033064552101,70.28750925941115,333.66243442098767,838.5405191636977,861.0852178651602,241.97290824218078,187.0204367450848,112.50070180102021,430.60073931966696,86.67901434693681,-6.924147865480364,,,
R3_P2_baseline_heavy_cat,"","",233.52120850987822,219.789959621908,225.29882277448237,79.49379960233841,75.38288043880371,77.00223187946168,3.1840199729010004,63.121249673884684,75.03375135071525,424.2642619935686,75.66033064552101,70.28750925941115,343.8090838065408,830.5358203482057,883.0309862756891,243.68570125418177,199.41093723919604,129.43620625122375,437.4907911135888,91.89615243753194,-2.9517171038383196,KEEP,vs_official_floor,
R3_lgbm_flow_mass_single,"","",238.64366783888292,214.33520056345523,224.22546751293143,80.54619197140228,74.6927015089834,76.99847737956642,0.9818071029304963,59.8503130707018,76.91024963706056,420.95514990613214,77.29431570118197,70.7739577120335,330.87063818673374,863.4918896305655,888.2622119180387,244.6507115923076,191.04026095772468,117.11833814609075,437.276813568471,88.7351111074978,-4.0250723653892635,,,60
