bucket,n_intervals,mae_hybrid,mae_nophysics,delta_mae,ci_lower,ci_upper,bootstrap_p,wilcoxon_p,cohens_d,effect_size,interpretation
Dense,2432,149.58990717380757,154.23941269871062,-4.649505524903049,-11.48370341728124,2.1546239188115353,0.0905,0.18002827474985933,-0.027911564503906833,Negligible,No significant evidence
Medium,11278,46.63166157031204,46.93394532350617,-0.30228375319413203,-1.2788211933437457,0.6307415318564598,0.2629,0.9999999999933445,-0.006077259500260692,Negligible,No significant evidence
Sparse,1141,54.90989070711076,55.030703545442314,-0.12081283833155254,-7.241996414690747,7.170174097166317,0.485,0.9637036134824374,-0.0009886939385315766,Negligible,No significant evidence
Very Sparse,8180,125.76978338590014,126.83892260996231,-1.0691392240621695,-3.6539258399872834,1.5353591586531024,0.2074,0.09559522021158862,-0.011508890701293234,Negligible,No significant evidence
