experiment,approach,features,target,mae,rmse,r2,n_features
A_direct_baseline,direct,base+physics,direct_fuel,27.030577700727648,42.2635185183572,0.6677524656211447,22
A_physics_only,physics,openap,physics_fuel_kg,107.00912314798848,148.55577080762498,-3.104965588121887,0
B_fuel_flow,fuel_flow,base+energy+physics,fuel_flow,15.579303391002107,20.26467945906896,0.9236146727176167,33
B_direct_energy_matched,direct,base+energy+physics,direct_fuel,26.277313499303517,38.903539721124574,0.7184803569024907,33
C_energy_ablation_base,direct,base+physics,direct_fuel,27.030577700727648,42.2635185183572,0.6677524656211447,22
C_energy_ablation_base_energy,direct,base+energy+physics,direct_fuel,26.277313499303517,38.903539721124574,0.7184803569024907,33
