finding,prc2025_expected,audit_result,delta_mae,interpretation
Energy features improve Direct MAE,Yes (ΔMAE < 0 with CI),replicates,-4.5257072838892825,Base+Energy significantly better than Base
Fuel-Flow target beats matched Direct,Often yes under LOTO / distribution shift,replicates,-9.367006848556692,Flow+Energy significantly better than Direct+Energy
ML improves on physics-only,Yes on independent fuel labels,n/a_physics_labels,31.993451932317832,WARNING: some/all labels are physics-derived (OpenAP). Absolute MAE is not independent fuel error.
